mention_name,mention_type,mention_popularity,mention_address,mention_longitude,mention_latitude,no_of_blogFiles,mention_found_in_blogFiles,youTubeLinkIds
monterey route,city,7,"Monterey, Monterey County, California, United States of America",-121.8667928,36.5844165,7,"beverly hills_and_monterey.json,fresno_and_monterey.json,monterey_and_santa ana.json,monterey_and_santa clarita.json,monterey_and_sausalito.json,monterey_and_newport beach.json,pismo beach_and_santa clarita.json","O2_CQCHVylA,bkAT2PA108A,QiCBj_SaplI"
buena park,city,20,"Buena Park, Orange County, California, United States of America",-117.9962164,33.870413,110,"anaheim_and_avalon.json,anaheim_and_berkeley.json,anaheim_and_carlsbad.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_huntington beach.json,anaheim_and_irvine.json,anaheim_and_long beach.json,anaheim_and_los angeles.json,anaheim_and_newport beach.json,anaheim_and_riverside.json,anaheim_and_san bernardino.json,anaheim_and_san diego.json,anaheim_and_san jose.json,anaheim_and_santa ana.json,anaheim_and_santa clarita.json,anaheim_and_sausalito.json,anaheim_and_temecula.json,avalon_and_bakersfield.json,bakersfield_and_san bernardino.json,avalon_and_santa clarita.json,avalon_and_sausalito.json,avalon_and_temecula.json,bakersfield_and_beverly hills.json,bakersfield_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_newport beach.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_santa clarita.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_mammoth lakes.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_san diego.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,big bear lake_and_santa clarita.json,big bear lake_and_sausalito.json,carlsbad_and_newport beach.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_santa clarita.json,carlsbad_and_stockton.json,fremont_and_newport beach.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_san bernardino.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,huntington beach_and_sacramento.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,huntington beach_and_sausalito.json,irvine_and_long beach.json,irvine_and_sacramento.json,irvine_and_sausalito.json,long beach_and_oakland.json,long beach_and_pasadena.json,long beach_and_riverside.json,long beach_and_san bernardino.json,long beach_and_santa ana.json,long beach_and_stockton.json,long beach_and_temecula.json,los angeles_and_riverside.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_riverside.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,mammoth lakes_and_santa monica.json,monterey_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,oakland_and_riverside.json,oakland_and_santa ana.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pasadena_and_riverside.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san diego.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa ana.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_santa clarita.json,san bernardino_and_sausalito.json,san diego_and_santa clarita.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,riverside_and_santa ana.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san luis obispo_and_santa clarita.json,san luis obispo_and_sausalito.json,santa monica_and_sausalito.json,santa monica_and_temecula.json,stockton_and_temecula.json","5-q0kgn0UwQ,xvGnFul5X5M,qJ5abR47Kos"
sutter creek,city,4,"Sutter Creek, Amador County, California, United States of America",-120.8024356,38.3929675,11,"fresno_and_sacramento.json,mammoth lakes_and_monterey.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_pismo beach.json,sacramento_and_sausalito.json,sacramento_and_stockton.json","4q1bXCrbqwM,EiniCOaJ-8w,FmR3qTVMnKA"
south carlsbad,city,2,"Carlsbad, San Diego County, California, United States of America",-117.3505938,33.1580933,26,"bakersfield_and_carlsbad.json,bakersfield_and_malibu.json,berkeley_and_malibu.json,berkeley_and_riverside.json,carlsbad_and_mammoth lakes.json,carlsbad_and_pasadena.json,carlsbad_and_temecula.json,fresno_and_malibu.json,fresno_and_pasadena.json,irvine_and_mammoth lakes.json,fresno_and_riverside.json,los angeles_and_mammoth lakes.json,long beach_and_mammoth lakes.json,malibu_and_oakland.json,malibu_and_sacramento.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,oakland_and_santa barbara.json,riverside_and_stockton.json,san bernardino_and_san luis obispo.json","HzTmIyzbGtM,uGp9fpHg63g,iya-Zx5F1NU"
bakersfield route,city,17,"Bakersfield, Kern County, California, United States of America",-119.0194638,35.3738712,9,"anaheim_and_bakersfield.json,bakersfield_and_berkeley.json,bakersfield_and_fremont.json,bakersfield_and_irvine.json,bakersfield_and_malibu.json,bakersfield_and_napa.json,bakersfield_and_newport beach.json,bakersfield_and_oakland.json,bakersfield_and_santa clarita.json","57OqpVi3Csc,4x5ewSG1vtw,UEqF8Imaf4Y"
fort bragg/mendocino,city,1,"Fort Bragg, Mendocino County, California, United States of America",-123.8026991,39.4447345,1,newport beach_and_sausalito.json,"cBURZVZeY_Y,Gy6qHqRq790,TCh24g4381U"
antioch,city,5,"Antioch, Contra Costa County, California, United States of America",-121.8057889,38.0049214,15,"avalon_and_sacramento.json,fremont_and_sacramento.json,fremont_and_santa barbara.json,fresno_and_huntington beach.json,napa_and_sacramento.json,oakland_and_sacramento.json,oakland_and_san jose.json,oakland_and_stockton.json,sacramento_and_san jose.json,sacramento_and_san luis obispo.json,sacramento_and_stockton.json,san bernardino_and_san luis obispo.json,sacramento_and_san bernardino.json,sacramento_and_san francisco.json,san jose_and_stockton.json","02Hbpq4QMvg,M0mB2IKbXNg,8-q2Yon0FzQ"
pismo beach route,city,28,"Pismo Beach, San Luis Obispo County, California, United States of America",-120.6412826,35.1427533,11,"bakersfield_and_pismo beach.json,carlsbad_and_pismo beach.json,fremont_and_pismo beach.json,huntington beach_and_pismo beach.json,irvine_and_pismo beach.json,malibu_and_pismo beach.json,pismo beach_and_riverside.json,pismo beach_and_sacramento.json,pismo beach_and_san bernardino.json,pismo beach_and_santa ana.json,pismo beach_and_temecula.json","smyT6PMOF-w,7GagbLYVzRY,rfUTGMbMfT4"
redwood gate,city,1,"Redwood City, San Mateo County, California, United States of America",-122.2363547,37.4852152,1,oakland_and_san jose.json,"tWbayZBFLnk,Hd0LR7PyzUg,Ozx9coWxPt4"
maricopa,city,1,"Maricopa, Kern County, California, United States of America",-119.4009508,35.058858,1,bakersfield_and_pismo beach.json,"sZmCYyZbArw,pb2HdXViQBM,uC_IEtWMY2w"
