youTubeLinkIds@sourceA,attraction_name@sourceA,attraction_knownFor@sourceA,attraction_reviewComment@sourceA,attraction_ranking@sourceA,attraction_no_of_reviews@sourceA,attraction_contact@sourceA,attraction_in@sourceA,attraction_address@sourceA,attraction_url@sourceA,attraction_in_file@sourceA,mention_name@sourceB,mention_popularity@sourceB,mention_longitude@sourceB,mention_latitude@sourceB,no_of_blogFiles@sourceB,Confidence
"VqazNoyl-Yg,hGCB_IdWe3g,bkEOV9HV9Jg",El Mirage Lake,,El Mirage dry lake bed has been home to Land Speed Racing (LSR) for more than half a century. The Southern California Timing Association (SCTA) was born here. Great place to watch... read more,2,2,,Adelanto,"20471 Mountain View Rd , Adelanto , CA 92301",https://www.tripadvisor.com/Attraction_Review-g29066-d9772342-Reviews-El_Mirage_Lake-Adelanto_California.html,adelanto.json,adelanto,4,-117.4092149,34.5827699,10,100
"N-kLCZh2Knk,vHoFSPHBkFo,8BslXIkKoKo",Mavericks Stadium,,"This is home to the High Desert Mavericks of the California League, a farm team of the Texas Rangers. For the low price of admission you get to sit in a very comfortable feeling... read more",1,13,,Adelanto,"12000 Stadium Rd , Adelanto , CA 92301-3400",https://www.tripadvisor.com/Attraction_Review-g29066-d6942899-Reviews-Mavericks_Stadium-Adelanto_California.html,adelanto.json,adelanto,4,-117.4092149,34.5827699,10,100
"pRXpng5zjmU,FAB079JBaBU,jFJuJhDwMwA",The Reyes Adobe Historic Site,,The reyes Adobe Site explains to the visitor about the spanish History of the area. It tells the touring people about the historical California signifigance of the site and... read more,4,7,818-597-7361,Agoura Hills,"30400 Rainbow Crest Dr , Agoura Hills , CA 91301-2073",https://www.tripadvisor.com/Attraction_Review-g29069-d6975271-Reviews-The_Reyes_Adobe_Historic_Site-Agoura_Hills_California.html,agoura_hills.json,agoura hills,5,-118.7745347,34.1363945,34,100
"ZzPr-s5a5Vc,kveS5DpK3-c",Padri Martini Bar,,"We went to Padri Restaurant and Martini Bar for the first time this weekend. We found the food to be superb---my pasta dish with pumpkin, vegetables, and a tomato based sauce was... read more",3,5,+1 818-865-3700,Agoura Hills,"29002 Agoura Rd , Agoura Hills , CA 91301-2518",https://www.tripadvisor.com/Attraction_Review-g29069-d5833246-Reviews-Padri_Martini_Bar-Agoura_Hills_California.html,agoura_hills.json,agoura hills,5,-118.7745347,34.1363945,34,100
"YCWjT6SapmU,R1mESTKuzUM,RssOwPvbJoA",The Mash Site,,"myself and my wife went for a hike to the mash site, and it was really good to see where it is filmed, and its free!!!",1,20,818-880-0367,Agoura Hills,"Crags Road , Malibu Creek State Park , Agoura Hills , CA",https://www.tripadvisor.com/Attraction_Review-g29069-d7776734-Reviews-The_Mash_Site-Agoura_Hills_California.html,agoura_hills.json,agoura hills,5,-118.7745347,34.1363945,34,100
"92OqlzAFun0,vylicjpJPU0,UOCntISoxLw",Malibu Riders Inc,,"While visiting our son in Los Angeles, we decided to contact Malibu Riders to take a two hour horseback ride through Malibu State Park. It was fantastic. Lindsay was our guide... read more",2,17,,Agoura Hills,"5306 Chesebro Road , Agoura Hills , CA 91301",https://www.tripadvisor.com/Attraction_Review-g29069-d1876111-Reviews-Malibu_Riders_Inc-Agoura_Hills_California.html,agoura_hills.json,agoura hills,5,-118.7745347,34.1363945,34,100
"PtO-1y8M2iQ,1fbFhi9fgMs,woiozJ7rrwk",Lindero Country Club,"ニ_ニ_ニ_ Small par 3 course, easily walked ニ_ニ_ニ_ Reviewed August 29, 2015 via mobile This is a nice place to go to get some exercise and not have to spend hours golfing. You can walk this course pretty easily, as it meanders through the local neighborhood. I actually took three clubs, a 6 and 9 iron and a putter and they handled the course just fine. I think there are maybe two holes where... More Helpful? Thank ZumaDawg Report",,5,,,Agoura Hills,,https://www.tripadvisor.com/Attraction_Review-g29069-d5599247-Reviews-Lindero_Country_Club-Agoura_Hills_California.html,agoura_hills.json,agoura hills,5,-118.7745347,34.1363945,34,100
"I_Fb5CBCQMA,oadtUyqk0wE,0BgoHggFouA",Massage Envy Spa Aliso Viejo,,"this place is like $95 for a massage and they don't even have a lot of great therapists. If I'm gonna spend that much for a massage, it's gonna be on a beach in maui! I prefer... read more",3,2,+1 949-472-8177,Aliso Viejo,"26852 La Paz Rd , Suite 2-A , Aliso Viejo , CA 92656-3036",https://www.tripadvisor.com/Attraction_Review-g29079-d3812540-Reviews-Massage_Envy_Spa_Aliso_Viejo-Aliso_Viejo_California.html,aliso_viejo.json,aliso viejo,3,-117.7258121,33.5761376,24,100
"QUQCId52rRI,e33rDmrlFHM,jyyexhVsz_E",Magyar Kozmetika,,"Amazing work, flexible hrs, evening and weekend appointments. Facials, Perfect Peel, microdermabrasion.........",2,,17142718802,Aliso Viejo,"18A Journey Ste 120 , Aliso Viejo , CA 92656-5342",https://www.tripadvisor.com/Attraction_Review-g29079-d6855792-Reviews-Magyar_Kozmetika-Aliso_Viejo_California.html,aliso_viejo.json,aliso viejo,3,-117.7258121,33.5761376,24,100
"ca1S3I6Gq2Y,2T0CjtaYdyU,ovGdjEj6tgI",Soka Performing Arts Center,,"If you get a chance to tour this campus you won't be sorry. Its amazing and tranquil and just gorgeous. They have a performance arts center that features local talent, go early... read more",1,25,+1 949-480-4380,Aliso Viejo,"1 University Dr , Aliso Viejo , CA 92656-8081",https://www.tripadvisor.com/Attraction_Review-g29079-d3978240-Reviews-Soka_Performing_Arts_Center-Aliso_Viejo_California.html,aliso_viejo.json,aliso viejo,3,-117.7258121,33.5761376,24,100
