City,Attraction,URL,ReviewCount,Address,ContactNo,Review,Rank,Total Attractions,KnownFor
Camarillo,Camarillo Grove Park,https://www.tripadvisor.com/Attraction_Review-g32147-d3657936-Reviews-Camarillo_Grove_Park-Camarillo_California.html,13,"6968 E Camarillo Springs Rd , Camarillo , CA 93012-8116",,,#7,25,
Camarillo,Commemorative Air Force Southern California Wing Museum,https://www.tripadvisor.com/Attraction_Review-g32147-d7309425-Reviews-Commemorative_Air_Force_Southern_California_Wing_Museum-Camarillo_California.html,17,"456 Aviation Dr , Camarillo , CA 93010-9509",(805) 482-0064,,#5,25,
Camarillo,Pleasant Valley Historical Society Museum & Botanical Gardens,https://www.tripadvisor.com/Attraction_Review-g32147-d6704471-Reviews-Pleasant_Valley_Historical_Society_Museum_Botanical_Gardens-Camarillo_California.html,3,"720 Las Posas Rd , Camarillo , CA 93010-2904",805-482-3660,,#9,25,
Fullerton,Maverick Theater,https://www.tripadvisor.com/Attraction_Review-g32416-d3423760-Reviews-Maverick_Theater-Fullerton_California.html,11,"110 E Walnut Ave , Fullerton , CA 92832-2434",,,#6,27,
Fullerton,Fullerton Museum Center,https://www.tripadvisor.com/Attraction_Review-g32416-d8358733-Reviews-Fullerton_Museum_Center-Fullerton_California.html,6,"301 N Pomona Ave , Fullerton , CA 92832-1927",714-738-6545,,#9,27,
Fullerton,Laguna Lake Park,https://www.tripadvisor.com/Attraction_Review-g32416-d7676631-Reviews-Laguna_Lake_Park-Fullerton_California.html,24,"3120 Lakeview Drive , Fullerton , CA",,,#3,27,
Fullerton,Clayes Performing Arts Centre,https://www.tripadvisor.com/Attraction_Review-g32416-d3978154-Reviews-Clayes_Performing_Arts_Centre-Fullerton_California.html,7,"800 N State College Blvd , Fullerton , CA 92831-3599",657-278-2011,,#8,27,
Fullerton,STAGEStheatre,https://www.tripadvisor.com/Attraction_Review-g32416-d7201437-Reviews-STAGEStheatre-Fullerton_California.html,8,"400 E Commonwealth Ave , Fullerton , CA 92832-2072",(714)-525-4484,,#7,27,
Fullerton,Muckenthaler Art and Cultural Center,https://www.tripadvisor.com/Attraction_Review-g32416-d4299369-Reviews-Muckenthaler_Art_and_Cultural_Center-Fullerton_California.html,19,"1201 W Malvern Ave , Fullerton , CA 92833-2429",,,#4,27,
Fullerton,AMC Fullerton 20,https://www.tripadvisor.com/Attraction_Review-g32416-d7713537-Reviews-AMC_Fullerton_20-Fullerton_California.html,15,"1001 S Lemon St , Fullerton Town Center , Fullerton , CA 92832-3007",714 992-6962,,#5,27,
California Hot Spr,California Hot Springs Resort,https://www.tripadvisor.com/Attraction_Review-g32140-d1478650-Reviews-California_Hot_Springs_Resort-California_Hot_Springs_California.html,20,"42177 Hot Springs Drive , California Hot Springs , CA",(661) 548-6582,,#1,1,
Summerland,The Sacred Space,https://www.tripadvisor.com/Attraction_Review-g33141-d8526144-Reviews-The_Sacred_Space-Summerland_California.html,6,"2594 Lillie Ave , Summerland , CA 93067",(805) 565-5535,,#1,4,
Summerland,Summerland Winery,https://www.tripadvisor.com/Attraction_Review-g33141-d8017671-Reviews-Summerland_Winery-Summerland_California.html,7,"2330 Lillie Avenue , Suite D , Summerland , CA 93067",805-565-9463,,#2,4,
Napa Valley,Woody's Wine Tours - Napa,https://www.tripadvisor.com/Attraction_Review-g32766-d3329210-Reviews-Woody_s_Wine_Tours_Napa-Napa_Napa_Valley_California.html,44,"Napa , CA 95405",707-396-8235,,#43,108,
National City,Niederfrank's,https://www.tripadvisor.com/Attraction_Review-g32767-d4755371-Reviews-Niederfrank_s-National_City_California.html,15,"726 A Ave , National City , CA 91950-2229",(619) 477-0828,,#2,10,
National City,El Toyon Park,https://www.tripadvisor.com/Attraction_Review-g32767-d8548856-Reviews-El_Toyon_Park-National_City_California.html,1,"2005 E 4th St , National City , CA 91950-2048",,,#7,10,
National City,Stoneys Bar and Grill,https://www.tripadvisor.com/Attraction_Review-g32767-d5833082-Reviews-Stoneys_Bar_and_Grill-National_City_California.html,3,"108 W St , National City , CA 91950",(619)477-9349,,#5,10,
National City,Westfield Plaza Bonita,https://www.tripadvisor.com/Attraction_Review-g32767-d8506174-Reviews-Westfield_Plaza_Bonita-National_City_California.html,13,"3030 Plaza Bonita Rd , National City , CA 91950-8009",6194725722,,#3,10,
National City,CLUB 13 Bar&Grill,https://www.tripadvisor.com/Attraction_Review-g32767-d5837891-Reviews-CLUB_13_Bar_Grill-National_City_California.html,1,"640 Civic Center Dr , National City , CA 91950-1008",619 477-2851,,#9,10,
National City,National City Public Library,https://www.tripadvisor.com/Attraction_Review-g32767-d8497696-Reviews-National_City_Public_Library-National_City_California.html,3,"1401 National City Blvd , National City , CA 91950-4401",(619) 470-5800,,#4,10,
National City,Steal and Escape,https://www.tripadvisor.com/Attraction_Review-g32767-d8671208-Reviews-Steal_and_Escape-National_City_California.html,28,"2602 Transportation Ave , Suite B , National City , CA 91950",+1 619-259-4096,,#1,10,
Squaw Valley,Shirley Lake Trail,https://www.tripadvisor.com/Attraction_Review-g33122-d7134552-Reviews-Shirley_Lake_Trail-Squaw_Valley_California.html,18,"Alpine Meadows Rd , Squaw Valley , CA",,,#1,5,
Descanso,Cuyamaca Rancho State Park,https://www.tripadvisor.com/Attraction_Review-g32291-d288407-Reviews-Cuyamaca_Rancho_State_Park-Descanso_California.html,44,"12551 Highway 79 , Descanso , CA 91916-9731",760-765-0755,,#1,2,
Willows,Sacramento National Wildlife Refuge,https://www.tripadvisor.com/Attraction_Review-g33275-d2415066-Reviews-Sacramento_National_Wildlife_Refuge-Willows_California.html,39,"752 County Road 99w , Willows , CA 95988-9639",,,#1,3,
Willows,Thunderhill Raceway Park,https://www.tripadvisor.com/Attraction_Review-g33275-d8106485-Reviews-Thunderhill_Raceway_Park-Willows_California.html,11,"5250 State Highway 162 , Willows , CA 95988-9503",530-934-5588,"??? Do you feel the need for SPEED? ??? This race track was built in 1993 and the CEO, Dave Vodden, has improved it continually ever since. The track is now 5 miles! but typically it is used in either a 3 mile or 2... read more Reviewed May 20, 2015 Dave J , Alameda, California, United States Add Photo Write a Review 11 Reviews from our TripAdvisor Community Which Willows hotels are on sale? mm/dd/yyyy mm/dd/yyyy See hotels Sponsored links * See what travelers are saying: Traveler rating Excellent (11) Very good (0) Average (0) Poor (0) Terrible (0) Traveler type Families (1) Couples (2) Solo (3) Business (1) Friends (4) Time of year Mar-May (2) Jun-Aug (6) Sep-Nov (1) Dec-Feb (2) Language All languages English (11) Showing 11: English reviews Clear all Dave J Alameda, California, United States Level Contributor 18 reviews 3 attraction reviews 10 helpful votes ??? Do you feel the need for SPEED? ??? Reviewed May 20, 2015 This race track was built in 1993 and the CEO, Dave Vodden, has improved it continually ever since. The track is now 5 miles! but typically it is used in either a 3 mile or 2 mile configuration. When I was there May 15-16, there was a auto race on the 3 mile track and a motorcycle race on the... More Helpful? 3 Thank Dave J Report Previous Next 1 2 Updating list... Travelers who viewed Thunderhill Raceway Park also viewed Sacramento National Wildlife Refuge 39 Reviews Willows, CA Willows Museum 3 Reviews Willows, CA Rolling Hills Casino 156 Reviews Corning, CA Orland Speedway 3 Reviews Orland, CA All things to do in Willows (3) Been to Thunderhill Raceway Park? Share your experiences! Write a Review Add Photos & Videos Is This Your TripAdvisor Listing? Own or manage this property? Claim your listing for free to respond to reviews, update your profile and much more. Claim Your Listing Questions & Answers Questions? Get answers from Thunderhill Raceway Park staff and past visitors. Hi, what would you like to know about this attraction? Posting guidelines Get notified about new answers to your questions. Ask Typical questions asked: Do I have to buy a ticket for my infant? How do I get there using public transportation? Is there a restaurant or caf?? onsite? Near Thunderhill Raceway Park Top-rated Attractions Nearby 39 Reviews Sacramento National Wildlife Refuge 42 Reviews Colusa Casino 127 Reviews The Olive Pit Browse all attractions Top-rated Restaurants Nearby 157 Reviews Willows Black Bear Diner 354 Reviews Farwood Bar & Grill 67 Reviews Casa Ramos Browse all restaurants About Us | Site Map | Help Center ?? 2016 TripAdvisor LLC All rights reserved. TripAdvisor Terms of Use and Privacy Policy . * TripAdvisor LLC is not a booking agent and does not charge any service fees to users of our site... ( more ) TripAdvisor LLC is not responsible for content on external web sites. Taxes, fees not included for deals content.",#2,3,
Willows,Willows Museum,https://www.tripadvisor.com/Attraction_Review-g33275-d3372185-Reviews-Willows_Museum-Willows_California.html,3,"336 W Walnut St , Willows , CA 95988-2819",(530) 934-5644,,#3,3,
Fall River Mills,Fort Crook Museum,https://www.tripadvisor.com/Attraction_Review-g32368-d4177768-Reviews-Fort_Crook_Museum-Fall_River_Mills_California.html,8,"43030 Fort Crook Museum Ave , Fall River Mills , CA",,,#1,3,
Atascadero,Faces of Freedom Veterans Memorial,https://www.tripadvisor.com/Attraction_Review-g29115-d4817789-Reviews-Faces_of_Freedom_Veterans_Memorial-Atascadero_San_Luis_Obispo_County_California.html,23,"8038 Portola Rd , Atascadero , CA 93422-3915",(805) 466-5555,,#3,17,
Atascadero,Bristol's Cider House,https://www.tripadvisor.com/Attraction_Review-g29115-d7181307-Reviews-Bristol_s_Cider_House-Atascadero_San_Luis_Obispo_County_California.html,10,"3220 El Camino Real , Atascadero , CA 93422-2500",,,#4,17,
Los Gatos,Oak Meadow Park,https://www.tripadvisor.com/Attraction_Review-g32657-d4155821-Reviews-Oak_Meadow_Park-Los_Gatos_California.html,25,"200 Blossom Hill Rd , Los Gatos , CA 95032-4420",408 399 5770,,#5,25,
Los Gatos,Castle Rock Falls,https://www.tripadvisor.com/Attraction_Review-g32657-d144704-Reviews-Castle_Rock_Falls-Los_Gatos_California.html,10,"Los Gatos , CA",408-867-2952,,#8,25,
Los Gatos,New Museum of Los Gatos,https://www.tripadvisor.com/Attraction_Review-g32657-d8507606-Reviews-New_Museum_of_Los_Gatos-Los_Gatos_California.html,5,"106 E Main St , Next to Los Gatos Town Library , Los Gatos , CA 95030-6904",408.354.2646,,#11,25,
