youTubeLinkIds@sourceA,attraction_name@sourceA,attraction_knownFor@sourceA,attraction_reviewComment@sourceA,attraction_ranking@sourceA,attraction_no_of_reviews@sourceA,attraction_contact@sourceA,attraction_in@sourceA,attraction_address@sourceA,attraction_url@sourceA,attraction_in_file@sourceA,mention_name@sourceB,mention_popularity@sourceB,mention_longitude@sourceB,mention_latitude@sourceB,no_of_blogFiles@sourceB,Confidence
"lpth_iBmDXk,yMLU5dNehEE,7ZwOdluSqIY",Abbot Kinney Boulevard,"Neighborhood: Venice Points of Interest & Landmarks , Sights & Landmarks","Charming stores and enormous variety of eating establishments. Fun place to walk and browse. When going to Venice Beach, this is a wonderful addition to the experience.",54,170,,Los Angeles,"Los Angeles , CA",https://www.tripadvisor.com/Attraction_Review-g32655-d293308-Reviews-Abbot_Kinney_Boulevard-Los_Angeles_California.html,los_angeles.json,abbot kinney boulevard,6,-118.4694806,33.9915304,52,100
"NcZhPmeV31Q,Uwj1wh5k5PY,9iD7pWcFgIg",Adventure Playground,,"Both young kids and teenagers like this location. Fun and adventure all day long. No one said ""I'm bored"" . It was great",15,8,+1 949-786-0854,Irvine,"1 Beech Tree Lane , Irvine , CA 92612",https://www.tripadvisor.com/Attraction_Review-g32530-d561787-Reviews-Adventure_Playground-Irvine_California.html,irvine.json,adventure playground,1,-122.3144515,37.8631287,1,100
"NcZhPmeV31Q,Uwj1wh5k5PY,9iD7pWcFgIg",Adventure Playground,,"It reminded me of my childhood, when almost everything could be a toy and we where taking joy from the simplest and most worthless objects... But the most admirable thing is the... read more",14,34,+1 510-981-6720,Berkeley,"160 University Ave , Berkeley , CA 94710-1617",https://www.tripadvisor.com/Attraction_Review-g32066-d4833546-Reviews-Adventure_Playground-Berkeley_California.html,berkeley.json,adventure playground,1,-122.3144515,37.8631287,1,100
lWutybUOOGs,Al Patch Park,,This park is fairly new built within the last 15 years. It's a beautiful addition to Vacaville. Many teams play their games here. It's very well maintained,7,4,,Vacaville,"Corner of California Dr. and Peabody Rd. , Vacaville , CA 95696",https://www.tripadvisor.com/Attraction_Review-g33208-d8379889-Reviews-Al_Patch_Park-Vacaville_California.html,vacaville.json,al patch park,2,-121.9726963,38.33092775,3,100
"MgTwb0vtoxo,VP6h7UoXG0o,RUC7Oa4lMyU",Alabama Hills,"Mountains , Nature & Parks",What incredible landscapes. We kept thinking we were not seeing what we were seeing. So much natural beauty. The sunrise was spectacular and well worth getting up early for.,1,492,+1 888-361-3731,Lone Pine,"Lone Pine , CA",https://www.tripadvisor.com/Attraction_Review-g32646-d117177-Reviews-Alabama_Hills-Lone_Pine_California.html,lone_pine.json,alabama hills,13,-118.0898096,36.5677117,21,100
"AbJgwu--2rM,Sd7I1spnr9w,_hFwcobtRxo",Alameda County Fairgrounds,"Other Fun & Games , Fun & Games",The fairgrounds is large and spread out - good or bad depending on the number of events that are entered. The bathrooms were clean although old and parking close to the building... read more,2,49,925.426.7559,Pleasanton,"4501 Pleasanton Ave , Pleasanton , CA 94566-7001",https://www.tripadvisor.com/Attraction_Review-g32904-d6873936-Reviews-Alameda_County_Fairgrounds-Pleasanton_California.html,pleasanton.json,alameda county fairgrounds,1,-121.8885546,37.66199115,1,100
"xjGeaIE4rtI,z5__OxpzoP8,Rzl5Hk2QypA",Alameda Museum,,Alameda museum is a fantastic little museum. It's a place where you can find a huge collection of Alameda artifacts all collected up in one place. This little museum does what the... read more,9,10,+1 510-521-1233,Alameda,"2324 Alameda Ave , Alameda , CA 94501-4503",https://www.tripadvisor.com/Attraction_Review-g29073-d2263081-Reviews-Alameda_Museum-Alameda_California.html,alameda.json,alameda museum,1,-122.2440896,37.7635013,1,100
"TRUXMfA1SHs,Ly6aMk8TPqQ,PaOntU35W3k",Alameda Park,,"We saw this park from the trolley tour, and our kids asked for a visit. We got our trolley tour guide to let us off near-by and walked back. Great park for the kids to burn off... read more",51,24,,Santa Barbara,"1400 Santa Barbara Street , Santa Barbara , CA",https://www.tripadvisor.com/Attraction_Review-g33045-d3877993-Reviews-Alameda_Park-Santa_Barbara_California.html,santa_barbara.json,alameda park,1,-119.7048427,34.4283605,13,100
"E6lFiHbcw2A,-UZov-gXGAo,DO153ueJX1A",Alcatraz Island,,Well worth the money. Friendly tour guide. A real eye opener to the life inside alcatraz and the prisoners held there. Some fascinating facts about al capone and other inmates... read more,1,"36,158",415 981 7625,San Francisco,"Pier 33 , B201 Fort Mason , San Francisco , CA 94122",https://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz_Island-San_Francisco_California.html,san_francisco.json,alcatraz island,19,-122.4227465,37.8267283,137,100
"E6lFiHbcw2A,-UZov-gXGAo,DO153ueJX1A",Alcatraz Island,,Well worth the money. Friendly tour guide. A real eye opener to the life inside alcatraz and the prisoners held there. Some fascinating facts about al capone and other inmates... read more,1,"36,158",415 981 7625,San Francisco,"Pier 33 , B201 Fort Mason , San Francisco , CA 94122",https://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz_Island-San_Francisco_California.html,san_francisco.json,alcatraz islands,1,-122.4227465,37.8267283,2,100
