222,176,,,166
"blogNER_mention_name","blogNER_geoCoded_relevant_mention_name",,,"annotated_mention_name"
101,101,,,"anderson pea soup factory"
"abbot kinney boulevard","abbot kinney boulevard",,,"andree clark bird refuge"
"america","america",,,"andrew molera state park"
"american riviera","american riviera",,,"avila beach"
"andrew molera state park","andrew molera state park",,"andrew molera state park","backyard bowls"
"austin","austin",,,"balboa pier"
"avila beach","avila beach",,"avila beach","belmont shore"
"backyard bowls",,,,"belmont veteran's memorial pier"
"balboa island","balboa island",,,"big sur"
"balboa peninsula","balboa peninsula",,,"bixby creek bridge"
"bay","bay",,,"brown butter cookie company"
"bay area","bay area",,,"bubblegum alley"
"bay area sales",,,,"buellton"
"belmont shore","belmont shore",,"belmont shore","butterfly beach"
"big sur","big sur",,"big sur","butterfly town"
"big sur bakery","big sur bakery",,,"cable cars"
"big sur village","big sur village",,,"cambria"
"bixby creek bridge","bixby creek bridge",,,"cannery row"
"broad streets","buellton",,,"capitola"
"buellton","burbank",,,"carmel"
"burbank","buttonwillow",,,"carmel valley"
"buttonwillow","ca california",,,"carpenteria"
"ca california","california coast",,,"carpinteria"
"california","california highway",,,"catalina avenue"
"california baysanta barbara rooftopsbig sur","cambria",,,"cayucos"
"california coast","cape horn",,,"chi-chi malibu"
"california coastline","capitola",,,"cypress point"
"california highway","carlsbad",,,"dana point"
"cambria","carmel",,,"del monte forest"
"camp pendleton military base","carmel valley",,,"devil's slide"
"cape horn","carmel-by-the-sea",,,"disneyland"
"capitola","carpinteria",,,"elverhoy danish heritage and fine arts museum"
"carlsbad","castroville",,,"embarcadero"
"carmel","catalina",,,"fisherman's village"
"carmel valley","catalina avenue",,,"fisherman's wharf"
"carmel-by-the-sea","central coast",,,"fisherman’s wharf"
"carpinteria","channel islands",,,"fitzgerald marine reserve"
"castroville","chicago",,,"fort macarthur museum"
"catalina","chorro",,,"fort tejon"
"catalina avenue","chorro street",,,"ghost tree"
"cayucos-by-the-sea","coastal san luis obispo county",,,"gilroy"
"central coast","cupertino",,,"gum alley"
"channel islands","cypress point",,,"half moon bay"
"chicago","egypt",,,"harris ranch"
"chorro","embarcadero",,,"hearst castle"
"chorro street","encinitas",,,"hermosa beach"
"cielo cantina","europe",,,"hollywood"
"coastal san luis obispo county","fort tejon",,,"huntington beach"
"cupertino","france",,,"jack creek farms"
"cypress point","fresno",,,"julia pfeiffer state park"
"egypt","gaffey street",,,"kettleman city"
"embarcadero","gilroy",,,"kettleman station"
"encinitas","half moon bay",,,"laguna beach"
"england","harris ranch",,,"lake tahoe"
"europe","hearst castle",,,"lee vining"
"fort macarthur museum","hermosa beach",,,"leo carillo state beach"
"fort tejon","highway 101",,,"lone cypress and seal or bird rock"
"france","hollywood",,,"long beach"
"fresno","huntington beach",,,"long beach museum of art"
"gaffey street","interstate freeway",,,"los angeles"
"gilroy","julia pfeiffer burns state park",,,"los banos"
"greece","kettleman city",,,"los osos"
"half moon bay","kettleman station",,,"lover's point"
"harris ranch","king city",,,"madonna inn"
"hearst castle","la",,,"malibu"
"hermosa beach","laguna beach",,,"manhattan beach"
"highway 101","lake tahoe",,,"marina del rey"
"hollywood","leucadia",,,"mcway falls"
"huntington beach","lincoln",,,"mcway waterfall trail"
"interstate freeway","lone cypress",,,"mission san carlos borromeo del rio carmelo"
"interstate highway system southern california roads los angeles","long beach",,,"mission santa barbara"
"italy","los alamos",,,"mission santa ines"
"julia pfeiffer burns state park","los angeles",,,"monarch butterfly sanctuary"
"julia pfeiffer state park","los angeles ' union station",,,"mono lake"
"kettleman city","los angeles aqueduct",,,"montana de oro state park"
"kettleman station","los angeles union station",,,"monterey"
"king city","los banos",,,"monterey bay"
"l.a.","los osos",,,"monterey bay aquarium"
"la","madonna inn",,,"moonstone beach"
"laguna beach","malibu",,,"moonstone drive"
"lake tahoe","manhattan beach",,,"moonstore beach"
"leucadia","marina del rey",,,"morro bay"
"lifelong bay area","mcway falls trail",,,"morro bay aquarium"
"lincolin","mecca",,,"morro bay estuary"
"lincoln","mission san luis obispo de tolosa",,,"morro bay state park"
"lone cypress","mission santa barbara",,,"morro rock"
"long beach","mono lake",,,"museum of monterey"
"los alamos","montana de oro state park",,,"museum of natural history"
"los angeles","monterey",,,"newport beach"
"los angeles ' union station","monterey bay",,,"nicolas canyon county beach"
"los angeles aqueduct","monterey bay aquarium",,,"ocean avenue"
"los angeles union station","monterey county",,,"old mission"
"los angeles?i","monterey park",,,"old west cinnamon rolls"
"los banos","moonstone beach",,,"olio pizzeria"
"los osos","moonstone drive",,,"pacific coast highway"
"madonna inn","morro bay",,,"pacific grove"
"malibu","morro bay aquarium",,,"palos verdes golf course"
"manhattan beach","morro bay estuary",,,"paso"
"marina del rey","morro bay state park",,,"paso robles"
"mcway falls trail","morro rock",,,"pebble beach"
"mecca","museum of monterey",,,"pebble beach golf course"
"mission san carlos borromeo del rio carmelo","naples island",,,"pescadero"
"mission san luis obispo de tolosa","nepenthe",,,"pfeiffer big sur state park"
"mission santa barbara","newport beach",,,"piedras blancas"
"mission santa ines","nine west",,,"pillar point harbor"
