"subject","type","label","long","long_round","lat","lat_round","comment","abstract"
"http://dbpedia.org/resource/Berkeley,_California","http://dbpedia.org/resource/Charter_city","Berkeley, California","-122.2747192382812",-122.27,"37.87166595458984",37.87,"Berkeley (/ˈbɜːrkliː/ BURK-lee) is a city on the east shore of San Francisco Bay in northern Alameda County, California. It is named after the 18th-century Anglo-Irish bishop and philosopher George Berkeley. It borders the cities of Oakland and Emeryville to the south and the city of Albany and unincorporated community of Kensington to the north. Its eastern border with Contra Costa County generally follows the ridge of the Berkeley Hills. Its population at the 2010 census was 112,580.","Berkeley (/ˈbɜːrkliː/ BURK-lee) is a city on the east shore of San Francisco Bay in northern Alameda County, California. It is named after the 18th-century Anglo-Irish bishop and philosopher George Berkeley. It borders the cities of Oakland and Emeryville to the south and the city of Albany and unincorporated community of Kensington to the north. Its eastern border with Contra Costa County generally follows the ridge of the Berkeley Hills. Its population at the 2010 census was 112,580. Berkeley is the site of the oldest campus in the University of California system – the University of California, Berkeley – of the Lawrence Berkeley National Laboratory which is managed and operated by the university, and the Graduate Theological Union. It is one of the most politically liberal cities in the United States."
"http://dbpedia.org/resource/Berkeley,_California","http://dbpedia.org/resource/Charter_city","Berkeley, California","-122.2727813720703",-122.27,"37.87166595458984",37.87,"Berkeley (/ˈbɜːrkliː/ BURK-lee) is a city on the east shore of San Francisco Bay in northern Alameda County, California. It is named after the 18th-century Anglo-Irish bishop and philosopher George Berkeley. It borders the cities of Oakland and Emeryville to the south and the city of Albany and unincorporated community of Kensington to the north. Its eastern border with Contra Costa County generally follows the ridge of the Berkeley Hills. Its population at the 2010 census was 112,580.","Berkeley (/ˈbɜːrkliː/ BURK-lee) is a city on the east shore of San Francisco Bay in northern Alameda County, California. It is named after the 18th-century Anglo-Irish bishop and philosopher George Berkeley. It borders the cities of Oakland and Emeryville to the south and the city of Albany and unincorporated community of Kensington to the north. Its eastern border with Contra Costa County generally follows the ridge of the Berkeley Hills. Its population at the 2010 census was 112,580. Berkeley is the site of the oldest campus in the University of California system – the University of California, Berkeley – of the Lawrence Berkeley National Laboratory which is managed and operated by the university, and the Graduate Theological Union. It is one of the most politically liberal cities in the United States."
"http://dbpedia.org/resource/Davis,_California","http://dbpedia.org/resource/California","Davis, California","-121.8866653442383",-121.89,"38.56722259521484",38.57,"Davis is a city in the U.S. state of California and the most populous city in Yolo County. It had a population of 65,622 in 2010, not including the on-campus population of the University of California, Davis, which was 5,786. Davis is included in the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area.","Davis is a city in the U.S. state of California and the most populous city in Yolo County. It had a population of 65,622 in 2010, not including the on-campus population of the University of California, Davis, which was 5,786. Davis is included in the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area."
"http://dbpedia.org/resource/Davis,_California","http://dbpedia.org/resource/California","Davis, California","-121.7380523681641",-121.74,"38.56722259521484",38.57,"Davis is a city in the U.S. state of California and the most populous city in Yolo County. It had a population of 65,622 in 2010, not including the on-campus population of the University of California, Davis, which was 5,786. Davis is included in the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area.","Davis is a city in the U.S. state of California and the most populous city in Yolo County. It had a population of 65,622 in 2010, not including the on-campus population of the University of California, Davis, which was 5,786. Davis is included in the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area."
"http://dbpedia.org/resource/Davis,_California","http://dbpedia.org/resource/California","Davis, California","-121.7380523681641",-121.74,"38.55389022827148",38.55,"Davis is a city in the U.S. state of California and the most populous city in Yolo County. It had a population of 65,622 in 2010, not including the on-campus population of the University of California, Davis, which was 5,786. Davis is included in the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area.","Davis is a city in the U.S. state of California and the most populous city in Yolo County. It had a population of 65,622 in 2010, not including the on-campus population of the University of California, Davis, which was 5,786. Davis is included in the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area."
"http://dbpedia.org/resource/Davis,_California","http://dbpedia.org/resource/California","Davis, California","-121.8866653442383",-121.89,"38.55389022827148",38.55,"Davis is a city in the U.S. state of California and the most populous city in Yolo County. It had a population of 65,622 in 2010, not including the on-campus population of the University of California, Davis, which was 5,786. Davis is included in the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area.","Davis is a city in the U.S. state of California and the most populous city in Yolo County. It had a population of 65,622 in 2010, not including the on-campus population of the University of California, Davis, which was 5,786. Davis is included in the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area."
"http://dbpedia.org/resource/Los_Altos,_California","http://dbpedia.org/resource/California","Los Altos, California","-122.0975036621094",-122.10,"37.36805725097656",37.37,"Los Altos /lɔːs ˈæltoʊs/ is a city at the southern end of the San Francisco Peninsula, in the San Francisco Bay Area. The city is in Santa Clara County, California, United States. The population was 28,976 according to the 2010 census.Homes and other real estate are costly in Los Altos. The median household income of Los Altos for 2009-2013 was $157,907. The average listing price in 2014 was $1.96 million. In 2015, Forbes put Los Altos (ZIP codes 94022 and 94024) as the 11th and 57th most expensive ZIP codes in the United States.Los Altos means ""the heights"" or ""foothill"" in Spanish.","Los Altos /lɔːs ˈæltoʊs/ is a city at the southern end of the San Francisco Peninsula, in the San Francisco Bay Area. The city is in Santa Clara County, California, United States. The population was 28,976 according to the 2010 census. Most of the city's growth occurred between 1950 and 1980. Originally an agricultural town with many summer cottages and apricot orchards, Los Altos is now an affluent bedroom community. Los Altos has several distinctive features. Commercial zones are strictly limited to the downtown area and small shopping and office parks lining Foothill Expressway and El Camino Real. Homes and other real estate are costly in Los Altos. The median household income of Los Altos for 2009-2013 was $157,907. The average listing price in 2014 was $1.96 million. In 2015, Forbes put Los Altos (ZIP codes 94022 and 94024) as the 11th and 57th most expensive ZIP codes in the United States. Los Altos means ""the heights"" or ""foothill"" in Spanish."
"http://dbpedia.org/resource/Pacific_Beach,_San_Diego","http://dbpedia.org/resource/List_of_communities_and_neighborhoods_of_San_Diego","Pacific Beach, San Diego","-117.2403106689453",-117.24,"32.79782485961914",32.80,"Pacific Beach is a neighborhood in San Diego, bounded by La Jolla to the north, Mission Beach and Mission Bay to the south, Interstate 5 to the east and the Pacific Ocean to the west. While formerly largely populated by young people, surfers, and college students, because of rising property and rental costs the population is gradually becoming older, more professional, and more affluent. ""P.B.,"" as it is known as by local residents, is home to one of San Diego's more developed nightlife scenes, with a great variety of bars, eateries, and clothing stores.","Pacific Beach is a neighborhood in San Diego, bounded by La Jolla to the north, Mission Beach and Mission Bay to the south, Interstate 5 to the east and the Pacific Ocean to the west. While formerly largely populated by young people, surfers, and college students, because of rising property and rental costs the population is gradually becoming older, more professional, and more affluent. ""P.B.,"" as it is known as by local residents, is home to one of San Diego's more developed nightlife scenes, with a great variety of bars, eateries, and clothing stores."
"http://dbpedia.org/resource/Santa_Monica,_California","http://dbpedia.org/resource/Charter_city","Santa Monica, California","-118.4813919067383",-118.48,"34.02194595336914",34.02,"Santa Monica is a beachfront city in western Los Angeles County, California, United States. The city is named after the Christian saint, Monica. Situated on Santa Monica Bay, it is bordered on three sides by the city of Los Angeles – Pacific Palisades to the north, Brentwood on the northeast, Sawtelle on the east, Mar Vista on the southeast, and Venice on the south. Santa Monica is well known for its affluent single-family neighborhoods but also has many neighborhoods consisting primarily of condominiums and apartments. Over two-thirds of Santa Monica's residents are renters. The Census Bureau population for Santa Monica in 2010 was 89,736.","Santa Monica is a beachfront city in western Los Angeles County, California, United States. The city is named after the Christian saint, Monica. Situated on Santa Monica Bay, it is bordered on three sides by the city of Los Angeles – Pacific Palisades to the north, Brentwood on the northeast, Sawtelle on the east, Mar Vista on the southeast, and Venice on the south. Santa Monica is well known for its affluent single-family neighborhoods but also has many neighborhoods consisting primarily of condominiums and apartments. Over two-thirds of Santa Monica's residents are renters. The Census Bureau population for Santa Monica in 2010 was 89,736. Partly because of its agreeable climate, Santa Monica had become a famed resort town by the early 20th century. The city has experienced a boom since the late 1980s through the revitalization of its downtown core, significant job growth and increased tourism. The Santa Monica Pier remains a popular and iconic destination."
"http://dbpedia.org/resource/North_Beach,_San_Francisco","http://dbpedia.org/resource/Neighborhoods_in_San_Francisco","North Beach, San Francisco","-122.4101867675781",-122.41,"37.80028915405273",37.80,"North Beach is a neighborhood in the northeast of San Francisco adjacent to Chinatown, Fisherman's Wharf and Russian Hill. The neighborhood is San Francisco's ""Little Italy"", and has historically been home to a large Italian American population. It is still home to many Italian restaurants today, though many other ethnic groups currently live in the neighborhood. It was also the historic center of the beatnik subculture. Today, North Beach is one of San Francisco's main nightlife districts as well as a residential neighborhood populated by a mix of young urban professionals, families and Chinese immigrants connected to the adjacent Chinatown.","North Beach is a neighborhood in the northeast of San Francisco adjacent to Chinatown, Fisherman's Wharf and Russian Hill. The neighborhood is San Francisco's ""Little Italy"", and has historically been home to a large Italian American population. It is still home to many Italian restaurants today, though many other ethnic groups currently live in the neighborhood. It was also the historic center of the beatnik subculture. Today, North Beach is one of San Francisco's main nightlife districts as well as a residential neighborhood populated by a mix of young urban professionals, families and Chinese immigrants connected to the adjacent Chinatown. The American Planning Association (APA) has named North Beach as one of ten ""Great Neighborhoods in America""."
