"mention_name@blogSrc@blobTripAdvSrc","mention_type@blogSrc@blobTripAdvSrc","mention_popularity@blogSrc@blobTripAdvSrc","mention_address@blogSrc@blobTripAdvSrc","mention_longitude@blogSrc@blobTripAdvSrc","mention_latitude@blogSrc@blobTripAdvSrc","no_of_blogFiles@blogSrc@blobTripAdvSrc","mention_found_in_blogFiles@blogSrc@blobTripAdvSrc","youTubeLinkIds@blogSrc@blobTripAdvSrc","attraction_in@tripAdvisorSrc@blobTripAdvSrc","attraction_longitude@tripAdvisorSrc@blobTripAdvSrc","attraction_latitude@tripAdvisorSrc@blobTripAdvSrc","attraction_in_file@tripAdvisorSrc@blobTripAdvSrc","youTubeLinkIds@tripAdvisorSrc@blobTripAdvSrc","subject@dbPediaSrc","type@dbPediaSrc","label@dbPediaSrc","comment@dbPediaSrc","abstract@dbPediaSrc","Confidence"
"hayward","city","7","Hayward, Alameda County, California, United States of America","-122.0807963","37.6688205","6","berkeley_and_fremont.json,fremont_and_oakland.json,fresno_and_san bernardino.json,long beach_and_oakland.json,monterey_and_oakland.json,oakland_and_san bernardino.json","CHIWcFjywZY,fOTfezYb6bg,9S1GokIGic8","Hayward","-122.0807963","37.6688205","hayward.json","oi2o2r3Sgc0,XtRS1UEIvkE,raBQZj-R0b0","http://dbpedia.org/resource/Hayward,_California","http://dbpedia.org/resource/City","Hayward, California","Hayward (/ˈheɪwərd/; formerly, Haywards, Haywards Station, and Haywood) is a city located in Alameda County, California in the East Bay subregion of the San Francisco Bay Area. With a 2014 population of 149,392, Hayward is the sixth largest city in the Bay Area and the third largest in Alameda County. Hayward was ranked as the 37th most populous municipality in California. It is included in the San Francisco-Oakland-Fremont Metropolitan Statistical Area by the US Census. It is located primarily between Castro Valley and Union City, and lies at the eastern terminus of the San Mateo-Hayward Bridge. The city was devastated early in its history by the namesake 1868 Hayward earthquake. From the early 20th century until the beginning of the 1980s, Hayward's economy was dominated by its now defun","Hayward (/ˈheɪwərd/; formerly, Haywards, Haywards Station, and Haywood) is a city located in Alameda County, California in the East Bay subregion of the San Francisco Bay Area. With a 2014 population of 149,392, Hayward is the sixth largest city in the Bay Area and the third largest in Alameda County. Hayward was ranked as the 37th most populous municipality in California. It is included in the San Francisco-Oakland-Fremont Metropolitan Statistical Area by the US Census. It is located primarily between Castro Valley and Union City, and lies at the eastern terminus of the San Mateo-Hayward Bridge. The city was devastated early in its history by the namesake 1868 Hayward earthquake. From the early 20th century until the beginning of the 1980s, Hayward's economy was dominated by its now defunct food canning and salt production industries.","100"
"berkeley","city","267","Berkeley, Alameda County, California, United States of America","-122.2728638","37.8708393","208","anaheim_and_berkeley.json,anaheim_and_fresno.json,anaheim_and_san francisco.json,anaheim_and_sausalito.json,avalon_and_berkeley.json,avalon_and_fresno.json,avalon_and_oakland.json,avalon_and_sacramento.json,berkeley_and_long beach.json,berkeley_and_san jose.json,avalon_and_sausalito.json,bakersfield_and_berkeley.json,bakersfield_and_monterey.json,bakersfield_and_napa.json,bakersfield_and_oakland.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_mammoth lakes.json,berkeley_and_monterey.json,berkeley_and_napa.json,berkeley_and_newport beach.json,berkeley_and_oakland.json,berkeley_and_pasadena.json,berkeley_and_pismo beach.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,berkeley_and_san bernardino.json,berkeley_and_san diego.json,berkeley_and_san francisco.json,berkeley_and_santa ana.json,berkeley_and_santa barbara.json,berkeley_and_santa clarita.json,berkeley_and_santa cruz.json,berkeley_and_santa monica.json,berkeley_and_sausalito.json,berkeley_and_stockton.json,berkeley_and_temecula.json,berkeley_and_beverly hills.json,berkeley_and_big bear lake.json,berkeley_and_carlsbad.json,berkeley_and_fremont.json,berkeley_and_fresno.json,berkeley_and_huntington beach.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_mammoth lakes.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san jose.json,beverly hills_and_stockton.json,big bear lake_and_mammoth lakes.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_sacramento.json,big bear lake_and_san jose.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json,carlsbad_and_fresno.json,carlsbad_and_monterey.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_pismo beach.json,carlsbad_and_sacramento.json,carlsbad_and_stockton.json,fremont_and_fresno.json,fremont_and_huntington beach.json,fremont_and_los angeles.json,fremont_and_monterey.json,fremont_and_napa.json,fremont_and_newport beach.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san francisco.json,fremont_and_santa clarita.json,fremont_and_santa cruz.json,fremont_and_sausalito.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_monterey.json,fresno_and_napa.json,fresno_and_oakland.json,fresno_and_pasadena.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_san jose.json,fresno_and_santa ana.json,fresno_and_santa clarita.json,fresno_and_santa monica.json,fresno_and_sausalito.json,fresno_and_stockton.json,fresno_and_temecula.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,irvine_and_mammoth lakes.json,irvine_and_monterey.json,irvine_and_napa.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_sausalito.json,carlsbad_and_san luis obispo.json,fresno_and_riverside.json,long beach_and_oakland.json,los angeles_and_napa.json,los angeles_and_oakland.json,los angeles_and_sausalito.json,malibu_and_oakland.json,malibu_and_pismo beach.json,malibu_and_san francisco.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_monterey.json,mammoth lakes_and_napa.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa clarita.json,mammoth lakes_and_santa monica.json,monterey_and_oakland.json,monterey_and_pasadena.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_san jose.json,monterey_and_stockton.json,monterey_and_temecula.json,napa_and_pasadena.json,napa_and_sacramento.json,napa_and_santa barbara.json,napa_and_santa monica.json,mammoth lakes_and_sausalito.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_sacramento.json,oakland_and_san diego.json,oakland_and_san francisco.json,oakland_and_san jose.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa monica.json,oakland_and_sausalito.json,oakland_and_stockton.json,pasadena_and_sacramento.json,pasadena_and_san jose.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,pismo beach_and_stockton.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san jose.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san jose.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,sacramento_and_sausalito.json,sacramento_and_temecula.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_stockton.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa clarita.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,oakland_and_temecula.json,sacramento_and_san francisco.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,irvine_and_stockton.json,san jose_and_sausalito.json,san jose_and_stockton.json,san luis obispo_and_sausalito.json,san luis obispo_and_temecula.json,santa barbara_and_sausalito.json,santa barbara_and_stockton.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa monica_and_sausalito.json,sausalito_and_stockton.json,stockton_and_temecula.json","3R6dzZdceT4,y67thWqFUGg,pZy8115sNXM","Berkeley","-122.2728638","37.8708393","berkeley.json","lh4b6D14pAs,bA9k2E0FsTE,ifv_ktmbMUk","http://dbpedia.org/resource/Downtown_Berkeley,_Berkeley,_California","http://dbpedia.org/resource/List_of_Berkeley_neighborhoods","Downtown Berkeley, Berkeley, California","Downtown Berkeley is the central business district of the city of Berkeley, California, United States, around the intersection of Shattuck Avenue and Center Street, and extending north to Hearst Avenue, south to Dwight Way, west to Martin Luther King Jr. Way, and east to Oxford Street. Downtown is the mass transit hub of Berkeley, with several AC Transit and UC Berkeley bus lines converging on the city's busiest BART station, as well as the location of Berkeley's civic center, high school, and Berkeley City College.","Downtown Berkeley is the central business district of the city of Berkeley, California, United States, around the intersection of Shattuck Avenue and Center Street, and extending north to Hearst Avenue, south to Dwight Way, west to Martin Luther King Jr. Way, and east to Oxford Street. Downtown is the mass transit hub of Berkeley, with several AC Transit and UC Berkeley bus lines converging on the city's busiest BART station, as well as the location of Berkeley's civic center, high school, and Berkeley City College.","100"
"berkeley","city","267","Berkeley, Alameda County, California, United States of America","-122.2728638","37.8708393","208","anaheim_and_berkeley.json,anaheim_and_fresno.json,anaheim_and_san francisco.json,anaheim_and_sausalito.json,avalon_and_berkeley.json,avalon_and_fresno.json,avalon_and_oakland.json,avalon_and_sacramento.json,berkeley_and_long beach.json,berkeley_and_san jose.json,avalon_and_sausalito.json,bakersfield_and_berkeley.json,bakersfield_and_monterey.json,bakersfield_and_napa.json,bakersfield_and_oakland.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_mammoth lakes.json,berkeley_and_monterey.json,berkeley_and_napa.json,berkeley_and_newport beach.json,berkeley_and_oakland.json,berkeley_and_pasadena.json,berkeley_and_pismo beach.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,berkeley_and_san bernardino.json,berkeley_and_san diego.json,berkeley_and_san francisco.json,berkeley_and_santa ana.json,berkeley_and_santa barbara.json,berkeley_and_santa clarita.json,berkeley_and_santa cruz.json,berkeley_and_santa monica.json,berkeley_and_sausalito.json,berkeley_and_stockton.json,berkeley_and_temecula.json,berkeley_and_beverly hills.json,berkeley_and_big bear lake.json,berkeley_and_carlsbad.json,berkeley_and_fremont.json,berkeley_and_fresno.json,berkeley_and_huntington beach.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_mammoth lakes.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san jose.json,beverly hills_and_stockton.json,big bear lake_and_mammoth lakes.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_sacramento.json,big bear lake_and_san jose.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json,carlsbad_and_fresno.json,carlsbad_and_monterey.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_pismo beach.json,carlsbad_and_sacramento.json,carlsbad_and_stockton.json,fremont_and_fresno.json,fremont_and_huntington beach.json,fremont_and_los angeles.json,fremont_and_monterey.json,fremont_and_napa.json,fremont_and_newport beach.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san francisco.json,fremont_and_santa clarita.json,fremont_and_santa cruz.json,fremont_and_sausalito.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_monterey.json,fresno_and_napa.json,fresno_and_oakland.json,fresno_and_pasadena.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_san jose.json,fresno_and_santa ana.json,fresno_and_santa clarita.json,fresno_and_santa monica.json,fresno_and_sausalito.json,fresno_and_stockton.json,fresno_and_temecula.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,irvine_and_mammoth lakes.json,irvine_and_monterey.json,irvine_and_napa.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_sausalito.json,carlsbad_and_san luis obispo.json,fresno_and_riverside.json,long beach_and_oakland.json,los angeles_and_napa.json,los angeles_and_oakland.json,los angeles_and_sausalito.json,malibu_and_oakland.json,malibu_and_pismo beach.json,malibu_and_san francisco.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_monterey.json,mammoth lakes_and_napa.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa clarita.json,mammoth lakes_and_santa monica.json,monterey_and_oakland.json,monterey_and_pasadena.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_san jose.json,monterey_and_stockton.json,monterey_and_temecula.json,napa_and_pasadena.json,napa_and_sacramento.json,napa_and_santa barbara.json,napa_and_santa monica.json,mammoth lakes_and_sausalito.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_sacramento.json,oakland_and_san diego.json,oakland_and_san francisco.json,oakland_and_san jose.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa monica.json,oakland_and_sausalito.json,oakland_and_stockton.json,pasadena_and_sacramento.json,pasadena_and_san jose.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,pismo beach_and_stockton.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san jose.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san jose.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,sacramento_and_sausalito.json,sacramento_and_temecula.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_stockton.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa clarita.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,oakland_and_temecula.json,sacramento_and_san francisco.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,irvine_and_stockton.json,san jose_and_sausalito.json,san jose_and_stockton.json,san luis obispo_and_sausalito.json,san luis obispo_and_temecula.json,santa barbara_and_sausalito.json,santa barbara_and_stockton.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa monica_and_sausalito.json,sausalito_and_stockton.json,stockton_and_temecula.json","3R6dzZdceT4,y67thWqFUGg,pZy8115sNXM","Berkeley","-122.2728638","37.8708393","berkeley.json","lh4b6D14pAs,bA9k2E0FsTE,ifv_ktmbMUk","http://dbpedia.org/resource/Berkeley,_California","http://dbpedia.org/resource/Charter_city","Berkeley, California","Berkeley (/ˈbɜːrkliː/ BURK-lee) is a city on the east shore of San Francisco Bay in northern Alameda County, California. It is named after the 18th-century Anglo-Irish bishop and philosopher George Berkeley. It borders the cities of Oakland and Emeryville to the south and the city of Albany and unincorporated community of Kensington to the north. Its eastern border with Contra Costa County generally follows the ridge of the Berkeley Hills. Its population at the 2010 census was 112,580.","Berkeley (/ˈbɜːrkliː/ BURK-lee) is a city on the east shore of San Francisco Bay in northern Alameda County, California. It is named after the 18th-century Anglo-Irish bishop and philosopher George Berkeley. It borders the cities of Oakland and Emeryville to the south and the city of Albany and unincorporated community of Kensington to the north. Its eastern border with Contra Costa County generally follows the ridge of the Berkeley Hills. Its population at the 2010 census was 112,580. Berkeley is the site of the oldest campus in the University of California system – the University of California, Berkeley – of the Lawrence Berkeley National Laboratory which is managed and operated by the university, and the Graduate Theological Union. It is one of the most politically liberal cities in the United States.","100"
"arroyo grande","city","10","Arroyo Grande, San Luis Obispo County, California, United States of America","-120.5907251","35.1185869","39","anaheim_and_oakland.json,anaheim_and_san luis obispo.json,avalon_and_pismo beach.json,bakersfield_and_san luis obispo.json,berkeley_and_san luis obispo.json,beverly hills_and_san luis obispo.json,fremont_and_san luis obispo.json,fresno_and_san luis obispo.json,irvine_and_san luis obispo.json,irvine_and_santa barbara.json,long beach_and_pismo beach.json,long beach_and_san luis obispo.json,malibu_and_pismo beach.json,monterey_and_san luis obispo.json,monterey_and_santa barbara.json,napa_and_pismo beach.json,napa_and_santa barbara.json,long beach_and_santa barbara.json,newport beach_and_san luis obispo.json,oakland_and_san luis obispo.json,pasadena_and_pismo beach.json,pasadena_and_san luis obispo.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_san luis obispo.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_stockton.json,pismo beach_and_temecula.json,riverside_and_san luis obispo.json,sacramento_and_san luis obispo.json,san bernardino_and_santa barbara.json,san jose_and_san luis obispo.json,oakland_and_pismo beach.json,santa clarita_and_sausalito.json,san luis obispo_and_santa ana.json,san luis obispo_and_sausalito.json,san luis obispo_and_stockton.json,san luis obispo_and_temecula.json","PJU9Otwmad8,BNy8SzvHHvg,3G7qhfBe5WI","Arroyo Grande","-120.5907251","35.1185869","arroyo_grande.json","aB8wDYfTbNo,3gkrQhHsy9g,QTKKljlZ7g8","http://dbpedia.org/resource/Arroyo_Grande,_California","http://dbpedia.org/resource/California","Arroyo Grande, California","Arroyo Grande is a city in San Luis Obispo County, California, United States. The population was 17,716 at the 2013 census.","Arroyo Grande is a city in San Luis Obispo County, California, United States. The population was 17,716 at the 2013 census.","100"
"sierra madre","city","4","Sierra Madre, Los Angeles County, California, United States of America","-118.0528455","34.1616729","22","avalon_and_pasadena.json,beverly hills_and_sausalito.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json","PRQRPZox39Y,F4ij-c-M0VE,BSNEZTsUaSk","Sierra Madre","-118.0528455","34.1616729","sierra_madre.json","4Ah1z4i3Y5A,krqqNqMaMhA","http://dbpedia.org/resource/Sierra_Madre,_California","http://dbpedia.org/resource/California","Sierra Madre, California","Sierra Madre is a city in Los Angeles County, California whose population was 10,917 at the 2010 U.S. Census, up from 10,580 at the time of the 2000 U.S. Census. The city is located in the foothills of the San Gabriel Valley below the southern edge of the Angeles National Forest. Pasadena and Altadena are to its west, with Arcadia to its south and east. Sierra Madre is known as ""Wisteria City"", and its city seal is decorated with a drawing of the now widely known 500-foot (150 m) vine. It is also called the ""Village of the Foothills"" and was an All-America City in 2007.","Sierra Madre is a city in Los Angeles County, California whose population was 10,917 at the 2010 U.S. Census, up from 10,580 at the time of the 2000 U.S. Census. The city is located in the foothills of the San Gabriel Valley below the southern edge of the Angeles National Forest. Pasadena and Altadena are to its west, with Arcadia to its south and east. Sierra Madre is known as ""Wisteria City"", and its city seal is decorated with a drawing of the now widely known 500-foot (150 m) vine. It is also called the ""Village of the Foothills"" and was an All-America City in 2007.","100"
"st. helena","city","36","St. Helena, Napa County, California, United States of America","-122.4700423","38.5052288","41","avalon_and_monterey.json,avalon_and_napa.json,anaheim_and_napa.json,bakersfield_and_napa.json,berkeley_and_napa.json,berkeley_and_sacramento.json,berkeley_and_carlsbad.json,carlsbad_and_napa.json,fremont_and_napa.json,fresno_and_napa.json,irvine_and_napa.json,long beach_and_napa.json,los angeles_and_napa.json,malibu_and_napa.json,mammoth lakes_and_monterey.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san jose.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,monterey_and_napa.json,monterey_and_riverside.json,napa_and_pasadena.json,napa_and_riverside.json,napa_and_sacramento.json,napa_and_san bernardino.json,napa_and_san francisco.json,napa_and_san jose.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa cruz.json,napa_and_santa monica.json,napa_and_oakland.json,napa_and_stockton.json,napa_and_temecula.json,oakland_and_sacramento.json,riverside_and_sausalito.json,sacramento_and_sausalito.json,san diego_and_sausalito.json,napa_and_sausalito.json,san jose_and_sausalito.json","57XP6g_G9xU,MQiQtdq1C3g","St. Helena","-122.4700423","38.5052288","st._helena.json","Gwy110olRi8,tzVmpjdytsY,PsJwIQ6u2Iw","http://dbpedia.org/resource/St._Helena,_California","http://dbpedia.org/resource/Local_government_in_California","St. Helena, California","St. Helena (/ˌseɪnt hᵻˈliːnə/ saint hə-LEE-nə) (Wappo: Anakotanoma, ""Bull Snake Village"") is a city in Napa County, California. It is part of the North Bay region of the San Francisco Bay Area. The population was 5,814 at the 2010 census.","St. Helena (/ˌseɪnt hᵻˈliːnə/ saint hə-LEE-nə) (Wappo: Anakotanoma, ""Bull Snake Village"") is a city in Napa County, California. It is part of the North Bay region of the San Francisco Bay Area. The population was 5,814 at the 2010 census.","100"
"ukiah","city","5","Ukiah, Mendocino County, California, United States of America","-123.207786","39.1501662","45","anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_sausalito.json,bakersfield_and_oakland.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_stockton.json,fresno_and_oakland.json,fresno_and_sacramento.json,fresno_and_sausalito.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_sausalito.json,long beach_and_stockton.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_sausalito.json,mammoth lakes_and_napa.json,mammoth lakes_and_riverside.json,mammoth lakes_and_santa ana.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,mammoth lakes_and_sausalito.json,oakland_and_santa clarita.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san luis obispo_and_sausalito.json,santa monica_and_sausalito.json,stockton_and_temecula.json","2qdmcaiUY6k,J95mk1mOr2c,SiWJRnYsWPM","Ukiah","-123.207786","39.1501662","ukiah.json","MEngOMo6QbI,0Wj4s6itwv4,8RA9X7CV7gM","http://dbpedia.org/resource/Ukiah,_California","http://dbpedia.org/resource/California","Ukiah, California","Ukiah (/juːˈkaɪ.ə/ yew-KY-ə; formerly Ukiah City) is the county seat and largest city of Mendocino County, California. With its accessible location (along the U.S. Route 101 corridor several miles south of CA 20), Ukiah serves as the city center for Mendocino County and much of neighboring Lake County. The Ukiah Valley is a center of a major wine production industry. In 1996, Ukiah was ranked the #1 best small town to live in California and the sixth-best place to live in the United States. The population was 16,075 at the 2010 census.","Ukiah (/juːˈkaɪ.ə/ yew-KY-ə; formerly Ukiah City) is the county seat and largest city of Mendocino County, California. With its accessible location (along the U.S. Route 101 corridor several miles south of CA 20), Ukiah serves as the city center for Mendocino County and much of neighboring Lake County. The Ukiah Valley is a center of a major wine production industry. In 1996, Ukiah was ranked the #1 best small town to live in California and the sixth-best place to live in the United States. The population was 16,075 at the 2010 census.","100"
"novato","city","7","Novato, Marin County, California, United States of America","-122.568119","38.1061979","15","beverly hills_and_sausalito.json,berkeley_and_sacramento.json,carlsbad_and_napa.json,fremont_and_santa clarita.json,irvine_and_sacramento.json,long beach_and_sausalito.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,napa_and_san francisco.json,napa_and_oakland.json,oakland_and_sacramento.json,riverside_and_sacramento.json,sacramento_and_sausalito.json,newport beach_and_sausalito.json,santa clarita_and_santa cruz.json","tZLKNlKkYAg,Wjy2a_gwzqA,VjRWcH3s7zw","Novato","-122.568119","38.1061979","novato.json","meIktVQsi4o,rF32jbgH2J4,y9gByWGeqNQ","http://dbpedia.org/resource/Novato,_California","http://dbpedia.org/resource/California","Novato, California","Novato (/nəˈvɑːtoʊ/ nə-VAH-toh) is a city in northern Marin County, in the North Bay region of the San Francisco Bay Area, in the U.S. state of California. As of the 2010 United States Census, its population was 51,904. Novato is located about 10 miles (16 km) northwest of San Rafael and about 30 miles (48 km) north of San Francisco on U.S. 101.","Novato (/nəˈvɑːtoʊ/ nə-VAH-toh) is a city in northern Marin County, in the North Bay region of the San Francisco Bay Area, in the U.S. state of California. As of the 2010 United States Census, its population was 51,904. Novato is located about 10 miles (16 km) northwest of San Rafael and about 30 miles (48 km) north of San Francisco on U.S. 101.","100"
"signal hill","city","1","Signal Hill, Los Angeles County, California, United States of America","-118.1676041","33.8043856","1","malibu_and_pasadena.json","lwBQMHk6rpg","Signal Hill","-118.1676041","33.8043856","signal_hill.json","tsXACMdwgA8,vLYyxmZl1hw,CAPWkeqDswA","http://dbpedia.org/resource/Signal_Hill,_California","http://dbpedia.org/resource/California","Signal Hill, California","Signal Hill is a city (2.2 mi², 5.7 km²) atop a hill in California located in the Greater Los Angeles area. An enclave completely surrounded by the city of Long Beach, Signal Hill was incorporated on April 22, 1924, roughly three years after oil was discovered there. As of the 2010 census, the city population was 11,465.Signal Hill lies in the 562 area code. The city once shared three different postal ZIP codes with the city of Long Beach but in July 2002, the city of Signal Hill received its own ZIP code, 90755.","Signal Hill is a city (2.2 mi², 5.7 km²) atop a hill in California located in the Greater Los Angeles area. An enclave completely surrounded by the city of Long Beach, Signal Hill was incorporated on April 22, 1924, roughly three years after oil was discovered there. As of the 2010 census, the city population was 11,465. Signal Hill lies in the 562 area code. The city once shared three different postal ZIP codes with the city of Long Beach but in July 2002, the city of Signal Hill received its own ZIP code, 90755.","100"
"clearlake","city","1","Clearlake, Lake County, California, United States of America","-122.6263727","38.9582307","3","fresno_and_stockton.json,oakland_and_san bernardino.json,san bernardino_and_stockton.json","JRhMegxuT5w,KzKg9XKoexA,ioTkqaWwtRs","Clearlake","-122.6263727","38.9582307","clearlake.json","BdeoR6vNE38,wBYvjTpe22w,_E6LBp2AEjI","http://dbpedia.org/resource/Clearlake,_California","http://dbpedia.org/resource/California","Clearlake, California","Clearlake is a city in Lake County, California. Clearlake is 4.5 miles (7.2 km) north-northwest of Lower Lake, at an elevation of 1417 feet (432 m). As of the 2010 census, the city had a total population of 15,250, up from 13,142 at the 2000 census. It takes its name from Clear Lake.","Clearlake is a city in Lake County, California. Clearlake is 4.5 miles (7.2 km) north-northwest of Lower Lake, at an elevation of 1417 feet (432 m). As of the 2010 census, the city had a total population of 15,250, up from 13,142 at the 2000 census. It takes its name from Clear Lake.","100"
