"mention_name","mention_type","mention_popularity","mention_address","zip_code","mention_longitude","mention_latitude","no_of_blogFiles","mention_found_in_blogFiles"
"""canyon lake , canyon hills""","place_of_worship","1","""Newport Beach California Temple, Bonita Canyon Drive, Newport Center, Newport Beach, Orange County, California, 92612, United States of America""","92612","-117.8505242","33.629297","1","santa barbara_and_temecula.json"
"""santa monica , ocean park""","museum","1","""California Heritage Museum, Main Street, Santa Monica, Los Angeles County, California, 90291, United States of America""","90291","-118.4834533","34.0015316","5","""irvine_and_santa monica.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_santa monica.json,san jose_and_santa monica.json"""
"#altadena","town","3","""Altadena, Los Angeles County, California, United States of America""","","-118.1352328","34.1863161","3","""anaheim_and_santa monica.json,beverly hills_and_huntington beach.json,pasadena_and_santa monica.json"""
"' angeles crest highway","secondary","1","""Angeles Crest Highway, La Ca��ada Flintridge, Los Angeles County, California, 91011, United States of America""","91011","-118.2000652","34.2122297","13","""beverly hills_and_pismo beach.json,carlsbad_and_santa barbara.json,huntington beach_and_san bernardino.json,huntington beach_and_santa clarita.json,monterey_and_san diego.json,newport beach_and_santa barbara.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san luis obispo_and_santa clarita.json,santa barbara_and_santa clarita.json"""
"' arena boulevard","primary","1","""Arena Boulevard, Sacramento, Sacramento County, California, 95834, United States of America""","95834","-121.5255377","38.6430887","3","""berkeley_and_carlsbad.json,carlsbad_and_san jose.json,san jose_and_temecula.json"""
"' ballet san jose","dancing_school","1","""Vertin San Jose Ballet School, North 4th Street, Saint James Square Historic District, Japantown, San Jos��, Santa Clara County, California, 95112, United States of America""","95112","-121.889416554925","37.33987275","1","san jose_and_stockton.json"
"' breakwater way beach","residential","1","""Breakwater Circle, Huntington Beach, Orange County, California, 92646, United States of America""","92646","-117.9639742","33.6516134","1","los angeles_and_san diego.json"
"' canyon lake","administrative","1","""Canyon Lake, Riverside County, California, United States of America""","","-117.262615","33.6836539","2","""newport beach_and_oakland.json,newport beach_and_sacramento.json"""
"' castle park","hamlet","1","""Castle Park, San Diego County, California, United States of America""","","-117.0675277","32.6103329","1","irvine_and_santa cruz.json"
"' channel islands","garden","1","""Channel Islands, Evolution Walk, Warner Center, LA, Los Angeles County, California, 91307, United States of America""","91307","-118.5759409","34.1848815","3","""fresno_and_los angeles.json,los angeles_and_oakland.json,newport beach_and_san jose.json"""
"' channel islands national park","national_park","5","""Channel Islands National Park, Spinnaker Drive, Ventura, Ventura County, California, 93006, United States of America""","93006","-119.266377755078","34.248597","12","""avalon_and_malibu.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,irvine_and_mammoth lakes.json,huntington beach_and_malibu.json,los angeles_and_mammoth lakes.json,mammoth lakes_and_san diego.json,mammoth lakes_and_santa ana.json,monterey_and_newport beach.json,newport beach_and_santa cruz.json"""
"' death valley","desert","4","""Death Valley, Timbisha, Inyo County, California, 92328, United States of America""","92328","-116.914043572057","36.42404725","6","""bakersfield_and_fremont.json,bakersfield_and_san diego.json,fremont_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san francisco.json,sacramento_and_san bernardino.json"""
"' death valley national park","national_park","4","""Death Valley National Park, Lucky Wash Road, Skidoo, Inyo County, California, United States of America""","","-117.102293507719","36.4914385","26","""anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_sacramento.json,anaheim_and_stockton.json,berkeley_and_malibu.json,berkeley_and_riverside.json,berkeley_and_san diego.json,berkeley_and_santa barbara.json,berkeley_and_carlsbad.json,beverly hills_and_sacramento.json,carlsbad_and_oakland.json,fresno_and_oakland.json,fresno_and_sacramento.json,long beach_and_sacramento.json,malibu_and_oakland.json,malibu_and_san francisco.json,mammoth lakes_and_riverside.json,mammoth lakes_and_santa ana.json,napa_and_santa barbara.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_santa barbara.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,santa barbara_and_stockton.json"""
"' desert hills","hotel","1","""Desert Hills, San Jacinto Drive, Palm Springs, Riverside County, California, 92262, United States of America""","92262","-116.5525497","33.8208901","1","big bear lake_and_san diego.json"
