mention_name,mention_type,mention_popularity,mention_address,mention_longitude,mention_latitude,no_of_blogFiles,mention_found_in_blogFiles
harangi dam,dam,5,"Harangi dam, Somawarpet taluk, Kodagu, Karnataka, India",75.9056999171375,12.4928663,64,"badami_and_hassan.json,bijapur_and_madikeri.json,badami_and_madikeri.json,kanakapura_and_madikeri.json,bidar_and_madikeri.json,chikmagalur_and_hassan.json,bijapur_and_sakleshpur.json,bidar_and_virajpet.json,chikmagalur_and_dandeli.json,bijapur_and_virajpet.json,belur_and_shravanabelagola.json,badami_and_virajpet.json,sakleshpur_and_virajpet.json,belur_and_hampi.json,bidar_and_mysore.json,agumbe_and_madikeri.json,dandeli_and_sakleshpur.json,bidar_and_dandeli.json,agumbe_and_virajpet.json,bijapur_and_hassan.json,bellary_and_udupi.json,bellary_and_manipal.json,bangalore_and_virajpet.json,bidar_and_hassan.json,bangalore_and_madikeri.json,bijapur_and_mysore.json,bijapur_and_kemmangundi.json,belur_and_murudeshwara.json,badami_and_mysore.json,chikmagalur_and_mysore.json,badami_and_chikmagalur.json,dandeli_and_mysore.json,hubli_and_madikeri.json,bellary_and_madikeri.json,bijapur_and_chikmagalur.json,belur_and_virajpet.json,bidar_and_murudeshwara.json,belur_and_dandeli.json,kanakapura_and_mangalore.json,hubli_and_virajpet.json,jog falls_and_virajpet.json,bellary_and_virajpet.json,chikmagalur_and_virajpet.json,badami_and_belur.json,badami_and_murudeshwara.json,hampi_and_hassan.json,chikmagalur_and_madikeri.json,bidar_and_chikmagalur.json,badami_and_sakleshpur.json,belgaum_and_madikeri.json,bijapur_and_shravanabelagola.json,kundapur_and_virajpet.json,belur_and_bijapur.json,belgaum_and_virajpet.json,hampi_and_mysore.json,chikmagalur_and_hampi.json,chitradurga_and_madikeri.json,belur_and_bidar.json,dandeli_and_hassan.json,bidar_and_sakleshpur.json,badami_and_shravanabelagola.json,dandeli_and_madikeri.json,chitradurga_and_virajpet.json,bidar_and_shravanabelagola.json"
kolkata,restaurant,32,"Kolkata Biryani And Rolls, 1st Main Basaveshwaranagar, Rajajinagar 3rd Block, Dasarahalli, Bengaluru, Bangalore Urban, Karnataka, 560010, India",77.5478044,12.9845159,59,"badami_and_hassan.json,belgaum_and_chitradurga.json,bidar_and_chitradurga.json,bangalore_and_kundapur.json,bellary_and_sakleshpur.json,bijapur_and_sakleshpur.json,belur_and_raichur.json,bidar_and_udupi.json,belgaum_and_srirangapatna.json,gulbarga_and_yana.json,bidar_and_mysore.json,belgaum_and_udupi.json,sakleshpur_and_tumkur.json,bellary_and_manipal.json,bidar_and_hassan.json,bidar_and_kemmangundi.json,bijapur_and_kundapur.json,bellary_and_chikmagalur.json,kanakapura_and_mysore.json,belur_and_kanakapura.json,bidar_and_nandi hills.json,bidar_and_talakadu.json,bidar_and_hampi.json,belgaum_and_nandi hills.json,chikmagalur_and_kanakapura.json,bellary_and_mysore.json,bijapur_and_talakadu.json,bellary_and_nandi hills.json,bellary_and_kollur.json,bijapur_and_udupi.json,bidar_and_murudeshwara.json,chikmagalur_and_raichur.json,belur_and_nandi hills.json,bangalore_and_bijapur.json,belgaum_and_mysore.json,badami_and_belur.json,bidar_and_srirangapatna.json,bellary_and_kemmangundi.json,bijapur_and_kollur.json,bangalore_and_belgaum.json,hampi_and_hassan.json,belgaum_and_belur.json,belur_and_hubli.json,bijapur_and_shravanabelagola.json,bidar_and_kollur.json,belur_and_bijapur.json,chikmagalur_and_talakadu.json,chitradurga_and_madikeri.json,belur_and_bidar.json,bidar_and_sakleshpur.json,bellary_and_mangalore.json,bellary_and_talakadu.json,hampi_and_nandi hills.json,hubli_and_nandi hills.json,bidar_and_manipal.json,bijapur_and_kanakapura.json,bidar_and_dharmasthala.json,bidar_and_shravanabelagola.json,bellary_and_kanakapura.json"
venkatappa art gallery,museum,5,"Venkatappa Art Gallery, Kasturba Road, Shantala Nagar, MacIvor Town, Bengaluru, Bangalore Urban, Karnataka, 560001, India",77.5952077,12.9742592,81,"badami_and_hassan.json,hassan_and_hubli.json,hubli_and_sakleshpur.json,bellary_and_hassan.json,belgaum_and_kanakapura.json,bellary_and_sakleshpur.json,bijapur_and_sakleshpur.json,kanakapura_and_murudeshwara.json,gulbarga_and_yana.json,belur_and_hampi.json,bidar_and_mysore.json,dandeli_and_sakleshpur.json,bidar_and_dandeli.json,gulbarga_and_thirthahalli.json,bijapur_and_hassan.json,bellary_and_manipal.json,bijapur_and_mangalore.json,bidar_and_hassan.json,belgaum_and_mangalore.json,belgaum_and_kemmangundi.json,kanakapura_and_nandi hills.json,bijapur_and_kundapur.json,belgaum_and_manipal.json,bijapur_and_mysore.json,bidar_and_nandi hills.json,bidar_and_hampi.json,belgaum_and_nandi hills.json,badami_and_mysore.json,chikmagalur_and_mysore.json,badami_and_chikmagalur.json,bellary_and_mysore.json,bijapur_and_talakadu.json,bijapur_and_shimoga.json,bellary_and_srirangapatna.json,bellary_and_nandi hills.json,dandeli_and_mysore.json,bijapur_and_chikmagalur.json,bidar_and_hubli.json,bidar_and_murudeshwara.json,belur_and_dandeli.json,kanakapura_and_mangalore.json,hubli_and_virajpet.json,belgaum_and_mysore.json,bijapur_and_thirthahalli.json,bellary_and_murudeshwara.json,hubli_and_mysore.json,badami_and_belur.json,belgaum_and_talakadu.json,bijapur_and_kollur.json,hampi_and_hassan.json,bijapur_and_manipal.json,bidar_and_chikmagalur.json,belgaum_and_belur.json,bellary_and_thirthahalli.json,bellary_and_belur.json,badami_and_sakleshpur.json,belur_and_hubli.json,bijapur_and_shravanabelagola.json,agumbe_and_bijapur.json,belur_and_bijapur.json,agumbe_and_bellary.json,bellary_and_kundapur.json,bijapur_and_tumkur.json,hampi_and_mysore.json,bijapur_and_davanagere.json,agumbe_and_belgaum.json,belur_and_bidar.json,dandeli_and_hassan.json,belgaum_and_sakleshpur.json,bidar_and_sakleshpur.json,bangalore_and_kanakapura.json,bellary_and_mangalore.json,bellary_and_talakadu.json,badami_and_shravanabelagola.json,hubli_and_nandi hills.json,bijapur_and_kanakapura.json,belgaum_and_hassan.json,bidar_and_shravanabelagola.json,bellary_and_kanakapura.json,bijapur_and_srirangapatna.json,belur_and_yana.json"
badami taluk,primary,1,"Pala Badami Road, Betageri, Gadag, Gadag taluk, Gadag district, Karnataka, 582102, India",75.6395312,15.4389959,17,"badami_and_hassan.json,badami_and_bijapur.json,badami_and_belgaum.json,badami_and_sringeri.json,badami_and_shimoga.json,badami_and_mysore.json,badami_and_srirangapatna.json,badami_and_kollur.json,badami_and_bidar.json,badami_and_yana.json,badami_and_belur.json,badami_and_hubli.json,badami_and_hospet.json,badami_and_dharmasthala.json,bijapur_and_shravanabelagola.json,badami_and_shravanabelagola.json,bidar_and_hospet.json"
pattadakal-badami road,attraction,1,"Pattadakal Temples, SH14, ಬಾಚಿನಗುಡ್ಡ, Badami taluku, Bagalkote district, Karnataka, 587211, India",75.815884048161,15.9506349,6,"badami_and_hassan.json,badami_and_udupi.json,badami_and_kollur.json,badami_and_murudeshwara.json,badami_and_thirthahalli.json,badami_and_raichur.json"
kadamba,residential,11,"Kadamba Avenue, R. Narayanapura, Brookefields, Dodsworth Enclave, Bangalore Urban, Karnataka, 560066, India",77.7436954,12.9703178,77,"badami_and_hassan.json,bangalore_and_sirsi.json,bijapur_and_madikeri.json,hassan_and_hubli.json,bangalore_and_kollur.json,chitradurga_and_dandeli.json,agumbe_and_srirangapatna.json,bidar_and_madikeri.json,bijapur_and_sakleshpur.json,belur_and_raichur.json,kanakapura_and_murudeshwara.json,hubli_and_tumkur.json,bidar_and_sirsi.json,hubli_and_srirangapatna.json,badami_and_sringeri.json,dandeli_and_sakleshpur.json,jog falls_and_nandi hills.json,bidar_and_dandeli.json,bidar_and_jog falls.json,bijapur_and_sringeri.json,bangalore_and_talakadu.json,jog falls_and_kanakapura.json,agumbe_and_talakadu.json,bijapur_and_mangalore.json,bijapur_and_nandi hills.json,bijapur_and_mysore.json,bijapur_and_kemmangundi.json,bidar_and_talakadu.json,badami_and_mangalore.json,badami_and_mysore.json,badami_and_chikmagalur.json,jog falls_and_mysore.json,bijapur_and_talakadu.json,chitradurga_and_murudeshwara.json,badami_and_talakadu.json,dandeli_and_nandi hills.json,bangalore_and_murudeshwara.json,chitradurga_and_gulbarga.json,badami_and_kemmangundi.json,bangalore_and_bidar.json,badami_and_srirangapatna.json,dandeli_and_mysore.json,hubli_and_madikeri.json,agumbe_and_bangalore.json,bijapur_and_udupi.json,bidar_and_murudeshwara.json,belur_and_dandeli.json,hubli_and_virajpet.json,jog falls_and_virajpet.json,bangalore_and_bijapur.json,belgaum_and_mysore.json,bangalore_and_hubli.json,hubli_and_mysore.json,badami_and_belur.json,belgaum_and_talakadu.json,bangalore_and_yana.json,badami_and_nandi hills.json,badami_and_sakleshpur.json,belgaum_and_madikeri.json,badami_and_dharmasthala.json,belur_and_hubli.json,bangalore_and_dandeli.json,bijapur_and_shravanabelagola.json,belur_and_bijapur.json,chikmagalur_and_talakadu.json,bangalore_and_shimoga.json,dandeli_and_kanakapura.json,dandeli_and_dharmasthala.json,dandeli_and_hassan.json,hubli_and_shravanabelagola.json,badami_and_shravanabelagola.json,bangalore_and_davanagere.json,dandeli_and_madikeri.json,bidar_and_hospet.json,badami_and_bangalore.json,shimoga_and_srirangapatna.json,bijapur_and_srirangapatna.json"
shivalaya,place_of_worship,3,"Sri Kanyaka Parameshwari & Shivalaya, 8th Cross Road, Old Thippasandra, Indiranagar, Bengaluru, Bangalore Urban, Karnataka, 560001, India",77.645704,12.9692508,15,"badami_and_hassan.json,badami_and_kanakapura.json,badami_and_sringeri.json,badami_and_mangalore.json,badami_and_mysore.json,badami_and_kemmangundi.json,badami_and_srirangapatna.json,badami_and_belur.json,badami_and_sakleshpur.json,badami_and_dharmasthala.json,bijapur_and_shravanabelagola.json,badami_and_tumkur.json,badami_and_shravanabelagola.json,bidar_and_hospet.json,badami_and_bangalore.json"
agastya lake,residential,7,"Agastya Guru Palatia Apartments, Kadugodi, Prashanth Extension, Bangalore Urban, Karnataka, 56066, India",77.7512485332492,12.9796965,11,"badami_and_hassan.json,badami_and_kanakapura.json,badami_and_sringeri.json,badami_and_mangalore.json,badami_and_chikmagalur.json,badami_and_kemmangundi.json,badami_and_belur.json,badami_and_sakleshpur.json,badami_and_dharmasthala.json,badami_and_tumkur.json,badami_and_bangalore.json"
chalukya,residential,15,"Chalukya Nagar, Chandra Layout, GKW Layout, Bangalore Urban, Karnataka, 560072, India",77.5192989605445,12.9617207,90,"badami_and_hassan.json,bijapur_and_madikeri.json,hassan_and_hubli.json,chitradurga_and_dandeli.json,bidar_and_kanakapura.json,belgaum_and_kanakapura.json,agumbe_and_badami.json,bidar_and_virajpet.json,bijapur_and_virajpet.json,kanakapura_and_murudeshwara.json,belgaum_and_tumkur.json,belgaum_and_srirangapatna.json,gulbarga_and_yana.json,hubli_and_tumkur.json,agumbe_and_tumkur.json,badami_and_kanakapura.json,jog falls_and_raichur.json,badami_and_sringeri.json,dharmasthala_and_hampi.json,dandeli_and_sakleshpur.json,bidar_and_dandeli.json,gulbarga_and_thirthahalli.json,bijapur_and_sringeri.json,bijapur_and_hassan.json,hampi_and_kanakapura.json,chitradurga_and_yana.json,gulbarga_and_srirangapatna.json,bellary_and_udupi.json,bangalore_and_raichur.json,sakleshpur_and_tumkur.json,bidar_and_kemmangundi.json,belgaum_and_kemmangundi.json,bijapur_and_kundapur.json,bidar_and_kundapur.json,bijapur_and_kemmangundi.json,belgaum_and_nandi hills.json,badami_and_mangalore.json,badami_and_mysore.json,bijapur_and_talakadu.json,chitradurga_and_murudeshwara.json,jog falls_and_srirangapatna.json,chitradurga_and_gulbarga.json,badami_and_srirangapatna.json,chitradurga_and_kanakapura.json,chitradurga_and_talakadu.json,bidar_and_hubli.json,chitradurga_and_tumkur.json,belgaum_and_mysore.json,bijapur_and_thirthahalli.json,bangalore_and_hubli.json,bellary_and_murudeshwara.json,belgaum_and_talakadu.json,bidar_and_srirangapatna.json,bidar_and_tumkur.json,bijapur_and_kollur.json,belgaum_and_dharmasthala.json,badami_and_thirthahalli.json,bangalore_and_belgaum.json,hampi_and_hassan.json,gulbarga_and_tumkur.json,agumbe_and_bidar.json,badami_and_sakleshpur.json,badami_and_dharmasthala.json,bijapur_and_shravanabelagola.json,agumbe_and_bijapur.json,belur_and_bijapur.json,agumbe_and_bellary.json,bellary_and_kundapur.json,bidar_and_yana.json,bijapur_and_dharmasthala.json,badami_and_chitradurga.json,dandeli_and_kanakapura.json,bijapur_and_tumkur.json,agumbe_and_belgaum.json,dandeli_and_dharmasthala.json,dandeli_and_hassan.json,belgaum_and_sakleshpur.json,hubli_and_shravanabelagola.json,badami_and_tumkur.json,jog falls_and_tumkur.json,bellary_and_tumkur.json,jog falls_and_talakadu.json,badami_and_shravanabelagola.json,bellary_and_bidar.json,bijapur_and_kanakapura.json,bidar_and_dharmasthala.json,belgaum_and_hassan.json,badami_and_bangalore.json,bellary_and_kanakapura.json,bijapur_and_srirangapatna.json"
kaveri,river,76,"Kaveri, Kollegala taluk, Chamarajanagar district, Karnataka, India",77.0635531,12.1687878,187,"badami_and_hassan.json,bangalore_and_sirsi.json,gulbarga_and_talakadu.json,bijapur_and_madikeri.json,hassan_and_hubli.json,chikmagalur_and_nandi hills.json,bidar_and_chitradurga.json,bangalore_and_kollur.json,badami_and_madikeri.json,kanakapura_and_madikeri.json,agumbe_and_srirangapatna.json,bidar_and_madikeri.json,bidar_and_mangalore.json,bellary_and_hassan.json,bidar_and_kanakapura.json,belgaum_and_kanakapura.json,bellary_and_sakleshpur.json,bijapur_and_sakleshpur.json,chitradurga_and_mysore.json,agumbe_and_badami.json,bidar_and_virajpet.json,belur_and_raichur.json,hampi_and_mangalore.json,sakleshpur_and_yana.json,bijapur_and_virajpet.json,kanakapura_and_murudeshwara.json,belgaum_and_tumkur.json,badami_and_virajpet.json,badami_and_udupi.json,belgaum_and_srirangapatna.json,gulbarga_and_yana.json,bidar_and_shimoga.json,hubli_and_tumkur.json,agumbe_and_tumkur.json,bidar_and_sirsi.json,badami_and_kanakapura.json,bidar_and_mysore.json,hubli_and_srirangapatna.json,badami_and_sringeri.json,dharmasthala_and_hampi.json,dandeli_and_sakleshpur.json,chikmagalur_and_srirangapatna.json,jog falls_and_nandi hills.json,gulbarga_and_thirthahalli.json,bidar_and_jog falls.json,bijapur_and_sringeri.json,agumbe_and_virajpet.json,bijapur_and_hassan.json,bangalore_and_talakadu.json,bidar_and_sringeri.json,jog falls_and_kanakapura.json,hampi_and_kanakapura.json,dandeli_and_kemmangundi.json,gulbarga_and_srirangapatna.json,agumbe_and_talakadu.json,bellary_and_udupi.json,bangalore_and_virajpet.json,bijapur_and_mangalore.json,bangalore_and_madikeri.json,bidar_and_kemmangundi.json,bijapur_and_nandi hills.json,sakleshpur_and_talakadu.json,belgaum_and_kemmangundi.json,kanakapura_and_nandi hills.json,kanakapura_and_mysore.json,bijapur_and_mysore.json,bidar_and_kundapur.json,bidar_and_nandi hills.json,bijapur_and_kemmangundi.json,bidar_and_talakadu.json,belur_and_murudeshwara.json,belgaum_and_nandi hills.json,kanakapura_and_kemmangundi.json,chitradurga_and_srirangapatna.json,badami_and_mangalore.json,badami_and_mysore.json,badami_and_chikmagalur.json,chitradurga_and_shravanabelagola.json,jog falls_and_mysore.json,bellary_and_mysore.json,bijapur_and_talakadu.json,badami_and_talakadu.json,bellary_and_srirangapatna.json,dandeli_and_nandi hills.json,bangalore_and_murudeshwara.json,jog falls_and_srirangapatna.json,chitradurga_and_gulbarga.json,badami_and_kemmangundi.json,bellary_and_nandi hills.json,bangalore_and_bidar.json,badami_and_manipal.json,badami_and_srirangapatna.json,dandeli_and_mysore.json,bangalore_and_bellary.json,hubli_and_madikeri.json,bellary_and_madikeri.json,jog falls_and_madikeri.json,chitradurga_and_kanakapura.json,chitradurga_and_talakadu.json,agumbe_and_bangalore.json,bijapur_and_udupi.json,bangalore_and_hassan.json,bidar_and_murudeshwara.json,belur_and_dandeli.json,bangalore_and_srirangapatna.json,agumbe_and_shravanabelagola.json,dharmasthala_and_nandi hills.json,kanakapura_and_mangalore.json,hubli_and_virajpet.json,belur_and_nandi hills.json,jog falls_and_virajpet.json,bellary_and_virajpet.json,bangalore_and_bijapur.json,belgaum_and_mysore.json,chikmagalur_and_virajpet.json,bijapur_and_thirthahalli.json,badami_and_belur.json,agumbe_and_mysore.json,chitradurga_and_nandi hills.json,belgaum_and_talakadu.json,bidar_and_srirangapatna.json,bangalore_and_yana.json,belgaum_and_shravanabelagola.json,bidar_and_tumkur.json,belur_and_srirangapatna.json,bellary_and_sringeri.json,bellary_and_kemmangundi.json,badami_and_nandi hills.json,shimoga_and_talakadu.json,hampi_and_madikeri.json,bijapur_and_kollur.json,belgaum_and_dharmasthala.json,bangalore_and_belur.json,badami_and_thirthahalli.json,sakleshpur_and_srirangapatna.json,agumbe_and_kanakapura.json,hampi_and_hassan.json,bidar_and_chikmagalur.json,agumbe_and_nandi hills.json,gulbarga_and_tumkur.json,agumbe_and_bidar.json,badami_and_sakleshpur.json,belgaum_and_madikeri.json,badami_and_dharmasthala.json,bijapur_and_shravanabelagola.json,belur_and_hospet.json,gulbarga_and_udupi.json,agumbe_and_bijapur.json,kundapur_and_virajpet.json,belur_and_bijapur.json,agumbe_and_bellary.json,chikmagalur_and_talakadu.json,bidar_and_yana.json,bijapur_and_dharmasthala.json,bangalore_and_shimoga.json,dandeli_and_kanakapura.json,belgaum_and_virajpet.json,bijapur_and_tumkur.json,hampi_and_mysore.json,chitradurga_and_madikeri.json,agumbe_and_belgaum.json,belur_and_talakadu.json,dandeli_and_dharmasthala.json,dandeli_and_hassan.json,belgaum_and_sakleshpur.json,hubli_and_shravanabelagola.json,badami_and_tumkur.json,bellary_and_mangalore.json,jog falls_and_tumkur.json,bellary_and_tumkur.json,bangalore_and_mysore.json,jog falls_and_talakadu.json,bellary_and_talakadu.json,badami_and_shravanabelagola.json,hampi_and_nandi hills.json,bangalore_and_davanagere.json,hubli_and_nandi hills.json,dandeli_and_madikeri.json,bijapur_and_kanakapura.json,bidar_and_dharmasthala.json,chitradurga_and_virajpet.json,belgaum_and_hassan.json,badami_and_bangalore.json,shimoga_and_srirangapatna.json,bellary_and_kanakapura.json,bijapur_and_srirangapatna.json,belur_and_yana.json"
