mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
newport beach newport beach,beach,27,"Newport Beach, West Oceanfront, Balboa Island, Newport Beach, Orange County, California, 92663, United States of America",napa_and_newport beach.json
califia,residential,1652,"Califia Court, Santa Barbara County, California, 93111, United States of America","anaheim_and_fresno.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,bakersfield_and_san bernardino.json,avalon_and_santa clarita.json,avalon_and_sausalito.json,bakersfield_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_santa clarita.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,big bear lake_and_santa clarita.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_santa clarita.json,carlsbad_and_stockton.json,fresno_and_los angeles.json,fresno_and_san bernardino.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_sausalito.json,long beach_and_stockton.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,monterey_and_san bernardino.json,oakland_and_santa clarita.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_santa clarita.json,san bernardino_and_sausalito.json,san diego_and_santa clarita.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san luis obispo_and_santa clarita.json,san luis obispo_and_sausalito.json,santa monica_and_sausalito.json,stockton_and_temecula.json"
santee street,primary,31,"Santee Street, Skid Row, Bunker Hill, LA, Los Angeles County, California, 90015, United States of America",beverly hills_and_pasadena.json
tujunga avenue,secondary,36,"Tujunga Avenue, Studio City, North Hollywood, LA, Los Angeles County, California, 91602, United States of America",san bernardino_and_santa monica.json
simi hills,residential,74,"Simi Hills Lane, Simi Valley, Ventura County, California, 93063, United States of America","san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json"
mission san jose,tertiary,273,"West Mission Street, Civic Center, Japantown, San José, Santa Clara County, California, 95110, United States of America","berkeley_and_fremont.json,fremont_and_monterey.json,fremont_and_san bernardino.json,fremont_and_san jose.json,fremont_and_santa cruz.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,san jose_and_stockton.json"
west beverly hills,city,36,"Beverly Hills, Los Angeles County, California, United States of America",beverly hills_and_santa clarita.json
san francisco station,city,61,"SF, California, United States of America","san diego_and_sausalito.json,san francisco_and_sausalito.json"
spofford alley,service,51,"Spofford Street, Chinatown, SF, California, 94108, United States of America","napa_and_san diego.json,napa_and_san francisco.json"
santa monica boulevard,primary,1296,"Santa Monica Boulevard, Little Armenia, LA, Los Angeles County, California, Ca 90038, United States of America","anaheim_and_los angeles.json,anaheim_and_san bernardino.json,anaheim_and_santa clarita.json,anaheim_and_santa cruz.json,anaheim_and_santa monica.json,beverly hills_and_carlsbad.json,bakersfield_and_beverly hills.json,berkeley_and_malibu.json,berkeley_and_santa monica.json,beverly hills_and_big bear lake.json,beverly hills_and_fresno.json,beverly hills_and_los angeles.json,beverly hills_and_pasadena.json,beverly hills_and_riverside.json,beverly hills_and_san bernardino.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_santa ana.json,beverly hills_and_santa barbara.json,beverly hills_and_santa clarita.json,beverly hills_and_santa monica.json,fremont_and_santa monica.json,long beach_and_santa clarita.json,long beach_and_santa monica.json,los angeles_and_san bernardino.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json,malibu_and_sausalito.json,oakland_and_santa monica.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_santa monica.json,san diego_and_santa monica.json,newport beach_and_sausalito.json,pasadena_and_san bernardino.json,san jose_and_santa monica.json,santa monica_and_stockton.json"
