attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_url,attraction_in_file
Sri Ranganathaswamy Temple,"Points of Interest & Landmarks , Sights & Landmarks","Nice place to reamp your spiritual energy. And its one of the 3 ranganathurs , which lines in a stright line . Then last ranganathur is in srirangam",1,115,+91 81974 43378,Srirangapatna,"Temple Road , Srirangapatna , India",https://www.tripadvisor.com/Attraction_Review-g1776497-d5496345-Reviews-Sri_Ranganathaswamy_Temple-Srirangapatna_Karnataka.html,srirangapatna.json
Nimishambha Temple,"Sacred & Religious Sites , Sights & Landmarks","Tucked away in a quiet locality and on the banks of the river Cauvery, this temple has divinity written all over it.The temple is more than 300 years old and it is believed that... read more",4,44,,Srirangapatna,"Mandya District , Srirangapatna 571438 , India",https://www.tripadvisor.com/Attraction_Review-g1776497-d3149580-Reviews-Nimishambha_Temple-Srirangapatna_Karnataka.html,srirangapatna.json
Balmuri Falls,,It's not a fall but water falling from 6 ft height in cauvery river. Basically a nice place for a day out near Bangalore if you don't want to go much far. Amazing fish fry which... read more,8,33,,Srirangapatna,"Mandya District | Cauvery River , Srirangapatna 571438 , India",https://www.tripadvisor.com/Attraction_Review-g1776497-d3149597-Reviews-Balmuri_Falls-Srirangapatna_Karnataka.html,srirangapatna.json
Gumbaz Burial Chamber,,Gumbaz is a place located about 5 Km from Srirangapatna. This is a Burial place of Tipusultan and his parents. We can locate their tombs. Definitely a tourist need vehicle to... read more,3,70,,Srirangapatna,"East Srirangapatna , Srirangapatna , India",https://www.tripadvisor.com/Attraction_Review-g1776497-d2651388-Reviews-Gumbaz_Burial_Chamber-Srirangapatna_Karnataka.html,srirangapatna.json
Tipu's Death Place,,This is basically a small commemorative monument that has been built to mark the exact place where Tippu Sultan the ruler of Srirangapattna died fighting the British. The actual... read more,5,51,,Srirangapatna,"Mysore Road , Srirangapatna , India",https://www.tripadvisor.com/Attraction_Review-g1776497-d7930999-Reviews-Tipu_s_Death_Place-Srirangapatna_Karnataka.html,srirangapatna.json
Dariya Daulat Palace,"Points of Interest & Landmarks , Sights & Landmarks",This place is a good visit for history buffs. Very well maintained garden and the summer palace stands in the middle. Though no one was sitting in the garden so I believe it is... read more,2,73,,Srirangapatna,"Gumbaz , Srirangapatna , India",https://www.tripadvisor.com/Attraction_Review-g1776497-d6496205-Reviews-Dariya_Daulat_Palace-Srirangapatna_Karnataka.html,srirangapatna.json
Jama Masjid,,The mosque was built by Tippu Sultan around 230 years ago and is still being used. The mosque has a simple and appealing architecture. It is located on the main road and easily... read more,6,24,,Srirangapatna,"Near Bangalore Gate of Srirangapatna Fort , Srirangapatna , India",https://www.tripadvisor.com/Attraction_Review-g1776497-d3217884-Reviews-Jama_Masjid-Srirangapatna_Karnataka.html,srirangapatna.json
Captain Bailey's Dungeon,,This is basically a prison built by Hyder Ali and used by him and Tippu Sultan to keep their enemies imprisoned. It is located on the banks of Cuvery. The prisoners would be... read more,7,23,,Srirangapatna,"Colonel Baileys Dungeon Sri Ranganatha Temple Road , Srirangapatna 571438 , India",https://www.tripadvisor.com/Attraction_Review-g1776497-d3149618-Reviews-Captain_Bailey_s_Dungeon-Srirangapatna_Karnataka.html,srirangapatna.json
Sangam,,This place is popular among the locals who have religious connection with the kaveri and the sangam of other tributaries.You may find people performing puja on the bank of the... read more,9,34,,Srirangapatna,"Srirangapatna , India",https://www.tripadvisor.com/Attraction_Review-g1776497-d3533294-Reviews-Sangam-Srirangapatna_Karnataka.html,srirangapatna.json
Srirangapatnam Fort,,The fortress of Tipu Sultan is a must see. Guide is necessary to know the intricacies and the history. Renovation is in progress and should be great once finished,5,21,,Mandya,"Srirangapatna | On River Cauvery (Island) , Mandya , India",https://www.tripadvisor.com/Attraction_Review-g2078495-d3732951-Reviews-Srirangapatnam_Fort-Mandya_Karnataka.html,mandya.json
