mention_name,mention_type,mention_popularity,mention_address,no_of_blogFiles,mention_found_in_blogFiles
santa monica beach,residential,15,"Santa Monica Drive, Channel Islands Beach, Ventura County, California, 93035, United States of America",98,"anaheim_and_malibu.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san luis obispo.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,avalon_and_beverly hills.json,anaheim_and_napa.json,beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,beverly hills_and_sausalito.json,bakersfield_and_beverly hills.json,bakersfield_and_malibu.json,bakersfield_and_pismo beach.json,bakersfield_and_santa monica.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_santa monica.json,berkeley_and_beverly hills.json,berkeley_and_huntington beach.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_malibu.json,beverly hills_and_oakland.json,beverly hills_and_riverside.json,beverly hills_and_san bernardino.json,beverly hills_and_santa barbara.json,beverly hills_and_santa cruz.json,beverly hills_and_stockton.json,beverly hills_and_temecula.json,big bear lake_and_santa monica.json,carlsbad_and_santa barbara.json,carlsbad_and_santa monica.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_san luis obispo.json,fremont_and_santa monica.json,huntington beach_and_pismo beach.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,huntington beach_and_stockton.json,irvine_and_pismo beach.json,irvine_and_san jose.json,irvine_and_santa barbara.json,irvine_and_santa monica.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,los angeles_and_malibu.json,los angeles_and_santa barbara.json,malibu_and_pasadena.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa monica.json,malibu_and_sausalito.json,malibu_and_stockton.json,napa_and_san luis obispo.json,long beach_and_santa barbara.json,malibu_and_monterey.json,newport beach_and_sacramento.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,newport beach_and_santa clarita.json,newport beach_and_stockton.json,oakland_and_san luis obispo.json,oakland_and_santa monica.json,pasadena_and_pismo beach.json,pasadena_and_san francisco.json,pasadena_and_san luis obispo.json,pasadena_and_santa cruz.json,pasadena_and_stockton.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,pismo beach_and_santa monica.json,riverside_and_santa monica.json,sacramento_and_san luis obispo.json,sacramento_and_santa barbara.json,san diego_and_santa barbara.json,san diego_and_stockton.json,san francisco_and_temecula.json,newport beach_and_sausalito.json,oakland_and_pismo beach.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,santa ana_and_santa barbara.json,santa ana_and_stockton.json,santa barbara_and_santa monica.json,santa barbara_and_stockton.json,santa monica_and_stockton.json,santa monica_and_temecula.json,stockton_and_temecula.json"
bahia resort hotel,hotel,1,"Bahia Resort Hotel, West Mission Bay Drive, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",1,riverside_and_santa cruz.json
larkspur landing,retail,1,"Marin Country Mart, Larkspur, Marin County, California, 94904, United States of America",1,sausalito_and_stockton.json
wayfarer,residential,1,"Wayfarer, Roseville, Placer County, California, 95747, United States of America",15,"avalon_and_monterey.json,bakersfield_and_monterey.json,berkeley_and_san luis obispo.json,fremont_and_san luis obispo.json,los angeles_and_monterey.json,monterey_and_riverside.json,monterey_and_santa barbara.json,los angeles_and_santa cruz.json,oakland_and_san luis obispo.json,san diego_and_san luis obispo.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san luis obispo_and_stockton.json,santa ana_and_santa cruz.json,santa barbara_and_santa cruz.json"
hanauma bay,residential,1,"Hanauma Bay Drive, Pittsburg, Contra Costa County, California, United States of America",1,napa_and_santa cruz.json
mcandrew rd.,residential,1,"McAndrew Road, Ventura County, California, 93023, United States of America",30,"avalon_and_santa cruz.json,big bear lake_and_santa barbara.json,big bear lake_and_santa cruz.json,fremont_and_santa barbara.json,fresno_and_santa barbara.json,long beach_and_santa cruz.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_santa barbara.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,riverside_and_santa barbara.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,santa ana_and_santa barbara.json,santa ana_and_santa cruz.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_temecula.json,santa cruz_and_santa monica.json"
algonquin park,residential,1,"Algonquin Lane, Riverside, Riverside County, California, 92503, United States of America",1,napa_and_san diego.json
santa cruz ca,city,1,"Santa Cruz, Santa Cruz County, California, United States of America",1,pismo beach_and_santa cruz.json
rei,yes,1,"REI, Erwin Street, Warner Center, LA, Los Angeles County, California, 91367, United States of America",1,fremont_and_irvine.json
irvine/laguna beach,residential,1,"Irvine Cove Drive, Laguna Beach, Orange County, California, 92651, United States of America",1,anaheim_and_berkeley.json
