mention_name,mention_type,mention_popularity,mention_address,mention_longitude,mention_latitude,no_of_blogFiles,mention_found_in_blogFiles,youTubeLinkIds
malibu san luis obispo,residential,3,"Malibu Drive, Chumash Village Mobile Home Park, San Luis Obispo, San Luis Obispo County, California, 93401, United States of America",-120.6667642,35.260592,1,malibu_and_san luis obispo.json,"k3_yQwFOISg,kO3XdNMMDf8,8yrQDFvTBzU"
taft airport,aerodrome,1,"Taft Airport, Gardner Field Road, Taft, Kern County, California, 93268, United States of America",-119.434934140328,35.1421043,4,"bakersfield_and_fresno.json,bakersfield_and_long beach.json,bakersfield_and_pismo beach.json,bakersfield_and_san francisco.json","oXMrO-nhnIA,E-U_wgoJCmM,r0a0oh2oYNo"
beauty.morro bay,beauty,1,"Catch a Wave Beauty Salon, 520, Quintana Road, Morro Bay, San Luis Obispo County, California, 93442, United States of America",-120.845717965742,35.36941625,6,"mammoth lakes_and_newport beach.json,malibu_and_mammoth lakes.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa monica.json,napa_and_newport beach.json","T1ZxdVKfyxo,wCFjXP199Oc,iS5m0aBBE4w"
putah creek,river,2,"Putah Creek, Yolo County, California, United States of America",-121.6126729,38.5133599,3,"mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json","EuoUZ_MGaVM,FFTztuvjFiI,k5uAYQG10U0"
channel islands national park,national_park,20,"Channel Islands National Park, Spinnaker Drive, Ventura, Ventura County, California, 93006, United States of America",-119.266377755078,34.248597,102,"anaheim_and_sacramento.json,anaheim_and_santa barbara.json,anaheim_and_sausalito.json,avalon_and_big bear lake.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_pismo beach.json,avalon_and_sacramento.json,avalon_and_malibu.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,avalon_and_santa monica.json,bakersfield_and_long beach.json,bakersfield_and_santa barbara.json,berkeley_and_malibu.json,berkeley_and_riverside.json,berkeley_and_san diego.json,berkeley_and_santa barbara.json,berkeley_and_carlsbad.json,beverly hills_and_monterey.json,big bear lake_and_long beach.json,big bear lake_and_santa barbara.json,big bear lake_and_santa cruz.json,carlsbad_and_oakland.json,carlsbad_and_santa barbara.json,fremont_and_santa barbara.json,fresno_and_san bernardino.json,fresno_and_santa barbara.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_sausalito.json,irvine_and_monterey.json,irvine_and_pismo beach.json,irvine_and_santa barbara.json,irvine_and_santa clarita.json,irvine_and_sausalito.json,long beach_and_oakland.json,long beach_and_santa cruz.json,los angeles_and_malibu.json,los angeles_and_santa barbara.json,los angeles_and_sausalito.json,malibu_and_oakland.json,malibu_and_pasadena.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_santa monica.json,monterey_and_pismo beach.json,monterey_and_riverside.json,monterey_and_san diego.json,monterey_and_santa ana.json,monterey_and_santa barbara.json,monterey_and_santa clarita.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,monterey_and_newport beach.json,monterey_and_santa monica.json,oakland_and_riverside.json,oakland_and_san bernardino.json,oakland_and_san diego.json,oakland_and_santa barbara.json,pasadena_and_sacramento.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,pismo beach_and_riverside.json,pismo beach_and_san bernardino.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_santa clarita.json,pismo beach_and_santa monica.json,pismo beach_and_sausalito.json,riverside_and_santa barbara.json,riverside_and_santa clarita.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san diego_and_sausalito.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa monica.json,santa ana_and_santa clarita.json,santa ana_and_santa barbara.json,santa ana_and_santa cruz.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_sausalito.json,santa barbara_and_temecula.json,santa clarita_and_santa cruz.json,santa clarita_and_temecula.json,santa cruz_and_santa monica.json,santa monica_and_sausalito.json","AURiyMmwtOU,oQD9hojfPYo,AFk73BvAfqY"
kern river valley,river,5,"Kern River, Tulare County, California, United States of America",-118.4124188,36.6816956,36,"anaheim_and_berkeley.json,anaheim_and_fresno.json,anaheim_and_pismo beach.json,avalon_and_bakersfield.json,bakersfield_and_san bernardino.json,bakersfield_and_berkeley.json,bakersfield_and_san jose.json,bakersfield_and_santa ana.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_temecula.json,berkeley_and_santa monica.json,berkeley_and_temecula.json,berkeley_and_fresno.json,beverly hills_and_san jose.json,carlsbad_and_fresno.json,carlsbad_and_oakland.json,carlsbad_and_pismo beach.json,carlsbad_and_sacramento.json,carlsbad_and_santa cruz.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_malibu.json,fresno_and_oakland.json,fresno_and_pasadena.json,fresno_and_santa monica.json,fresno_and_temecula.json,monterey_and_san diego.json,monterey_and_santa monica.json,oakland_and_pasadena.json,oakland_and_santa monica.json,pasadena_and_sacramento.json,pismo beach_and_san bernardino.json,sacramento_and_santa monica.json,san jose_and_temecula.json,santa monica_and_sausalito.json","zlG-Jd5ZkyE,TBTjocr1uWk,hDogzy-jXUI"
fresno pacific,university,1,"Fresno Pacific University, East Heaton Avenue, Fresno County, California, 93727, United States of America",-119.734190004115,36.72601005,2,"fresno_and_sausalito.json,fresno_and_stockton.json",eKfW4rmWh-U
ashford mill,ruins,1,"Ashford Mill, Badwater Road, Inyo County, California, United States of America",-116.683526291871,35.91883095,1,mammoth lakes_and_riverside.json,"9zJskVwoFEk,g3YtHPwa9rQ,SoUZXCoiB4s"
californio,path,2,"Californio, Centerville District, Fremont, Alameda County, California, 94587, United States of America",-122.0116874,37.5744603,18,"bakersfield_and_monterey.json,berkeley_and_monterey.json,big bear lake_and_monterey.json,fremont_and_monterey.json,fresno_and_monterey.json,fresno_and_oakland.json,fresno_and_pasadena.json,malibu_and_san jose.json,monterey_and_oakland.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_temecula.json,long beach_and_monterey.json,malibu_and_monterey.json,pasadena_and_sacramento.json,riverside_and_san jose.json,sacramento_and_temecula.json,san jose_and_temecula.json","qCDffe61I2M,yijygrActfg,7ePtNuuS_PI"
san gabriel river trail,river,3,"San Gabriel River, Irwindale, Los Angeles County, California, United States of America",-117.9681697,34.1135293,6,"big bear lake_and_santa clarita.json,long beach_and_riverside.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,newport beach_and_riverside.json","EnZUrH36MTg,J9_T53Y9l4Y,4XWvlXJ5Hu0"
waterman avenue,primary,2,"Waterman Avenue, San Bernardino, San Bernardino County, California, 92404, United States of America",-117.2786646,34.1496687,3,"avalon_and_san bernardino.json,huntington beach_and_san bernardino.json,san bernardino_and_santa ana.json","cKK4Rx-P6_k,XQbIjwCfbaQ,Rr9CdndgTe4"
north grove,wood,2,"North Grove, North Grove Trail, Snowshoe Springs, Calaveras County, California, 95223, United States of America",-120.3015843,38.2813058,1,riverside_and_stockton.json,"2Mcp97vuVHM,Rn5JSTT8NhY,ULMG3nx0-VQ"
fairmont san francisco,hotel,1,"The Fairmont San Francisco Hotel, 950, Mason Street, Chinatown, SF, California, 94108, United States of America",-122.410029997904,37.7923686,2,"san bernardino_and_sausalito.json,san francisco_and_sausalito.json","YcdMSAV8oTU,LySbAOToM0Q,48UVX_3QeIQ"
woodbridge,hamlet,4,"Woodbridge, San Joaquin County, California, United States of America",-121.3013369,38.1540849,15,"fremont_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,long beach_and_napa.json,malibu_and_napa.json,malibu_and_sausalito.json,napa_and_san luis obispo.json,newport beach_and_oakland.json,oakland_and_riverside.json,oakland_and_santa ana.json,pismo beach_and_sausalito.json,irvine_and_stockton.json,san luis obispo_and_sausalito.json,santa barbara_and_sausalito.json,santa monica_and_sausalito.json","AUkLHS3KwmE,iauQkAZ7ifA"
moreno drive,residential,1,"Moreno Drive, Silver Lake Heights, Atwater, LA, Los Angeles County, California, 90039, United States of America",-118.2684559,34.1029318,1,beverly hills_and_pasadena.json,"u7omER3CO54,toue7r_1OvQ,benWug9PTW8"
seacliff beach,residential,1,"Seacliff Lane, Huntington Beach, Orange County, California, 92648, United States of America",-118.0076789,33.6748992,5,"avalon_and_santa cruz.json,carlsbad_and_santa cruz.json,irvine_and_santa cruz.json,long beach_and_santa cruz.json,riverside_and_santa cruz.json","eS_U5MbmGCs,1TTwuNgv7Qc,nEw2DpIsvH0"
santa barbara island,island,2,"Santa Barbara Island, Santa Barbara County, California, United States of America",-119.035170860285,33.4768687,3,"avalon_and_san bernardino.json,avalon_and_malibu.json,santa ana_and_santa barbara.json","3qCq5pG5hPY,qCoiVMXE_cI,FB0K8tgQ8K4"
castle hill,peak,1,"Castle Hill, Contra Costa County, California, United States of America",-122.0519068,37.8604809,1,huntington beach_and_san francisco.json,"IcTjv1UtHJ0,HF3v4HCzM9Q,uEPaCZMwXsU"
dry creek valley,stream,1,"Dry Creek, Tulare County, California, United States of America",-118.184367,36.3187663,3,"malibu_and_napa.json,napa_and_pasadena.json,napa_and_santa barbara.json","tgeq0TX7v5E,TGdCCgqYg7g,zXO0cChM9c4"
mission bay,neighbourhood,9,"Mission Bay, SF, California, 94158, United States of America",-122.3911711,37.7707742,18,"anaheim_and_san francisco.json,avalon_and_berkeley.json,berkeley_and_san diego.json,berkeley_and_carlsbad.json,beverly hills_and_fresno.json,big bear lake_and_san jose.json,fresno_and_san diego.json,malibu_and_sausalito.json,monterey_and_san diego.json,oakland_and_san francisco.json,oakland_and_sausalito.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san diego_and_san jose.json,san diego_and_stockton.json,san francisco_and_temecula.json,san jose_and_sausalito.json,san jose_and_temecula.json","46iH0M53KOY,Bmq_ltH_sW4,jf1H4eueHgw"
prairie creek,stream,2,"Prairie Creek, Nevada County, California, United States of America",-120.5846481,39.4487665,7,"anaheim_and_napa.json,bakersfield_and_san francisco.json,long beach_and_sacramento.json,monterey_and_temecula.json,san diego_and_sausalito.json,san francisco_and_temecula.json,san jose_and_temecula.json","Zz4GplM6USw,mqEJcFG_1_0"
temecula mall - temecula,commercial,1,"Temecula Auto Mall, Rancho California, Temecula, Riverside County, California, 92390, United States of America",-117.154105610323,33.51211915,1,long beach_and_temecula.json,"msMV6FYB1RQ,eZNBueiNZnI,haB_XxRhaAw"
tokyo little tokyo,neighbourhood,1,"Little Tokyo, Little Tokyo Historic District, LA, Los Angeles County, California, 90013, United States of America",-118.2417215,34.0482697,1,san bernardino_and_santa monica.json,"U49OilkwG9g,8gQ58fbPzzo,r8QXxBg7pjI"
monterey and carmel,residential,2,"Monterey Street, Carmel-by-the-Sea, Monterey County, California, 93923, United States of America",-121.9139199,36.560602,4,"fremont_and_pismo beach.json,irvine_and_monterey.json,monterey_and_pismo beach.json,monterey_and_san bernardino.json","wTnpi01sH4A,iBD41f47BhU,twEN6JkFW3U"
second street,residential,2,"Second Street, Walnut Hills Mobile Home Park, Pomona, Los Angeles County, California, 91765, United States of America",-117.8182676,34.0440456,18,"avalon_and_santa cruz.json,berkeley_and_santa ana.json,carlsbad_and_santa cruz.json,huntington beach_and_los angeles.json,huntington beach_and_oakland.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,irvine_and_santa cruz.json,long beach_and_santa cruz.json,malibu_and_santa cruz.json,newport beach_and_santa cruz.json,pasadena_and_santa cruz.json,san bernardino_and_santa cruz.json,san francisco_and_santa ana.json,santa ana_and_santa cruz.json,santa clarita_and_santa cruz.json,santa cruz_and_santa monica.json,santa cruz_and_temecula.json","Jk_Xw05hTOY,iAItEfn292M,neN8Mch1Frc"
