mention_name,mention_type,mention_popularity,mention_address,mention_longitude,mention_latitude,no_of_blogFiles,mention_found_in_blogFiles,youTubeLinkIds
imperial county,administrative,1,"Imperial County, California, United States of America",-115.3595665,33.0305487,1,pasadena_and_san diego.json,"azjzKetkxOE,jWsBRC9SXvY,KAsntugo710"
chateau marmont,hotel,1,"Chateau Marmont, Marmont Lane, West Hollywood, Los Angeles County, California, 90069, United States of America",-118.3683689,34.0982337,1,beverly hills_and_monterey.json,"BalbvZ4cATo,vTMiI-h83fI,zKZ5Hvly9tg"
serra museum,museum,1,"Juniper Serra Museum, Presidio Drive, Old Town, San Diego, San Diego County, California, 92103, United States of America",-117.1939236,32.7592166,10,"anaheim_and_carlsbad.json,avalon_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san jose.json,san jose_and_temecula.json","53VKOfku-S4,Co0h3X8FoqU,iRMvqOwtFno"
griffith park,service,12,"Griffith Park, Citrus Heights, Sacramento County, California, 95621, United States of America",-121.3121659,38.68813,30,"beverly hills_and_sausalito.json,berkeley_and_los angeles.json,berkeley_and_huntington beach.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_santa cruz.json,beverly hills_and_stockton.json,big bear lake_and_san jose.json,fremont_and_los angeles.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_santa ana.json,los angeles_and_napa.json,los angeles_and_oakland.json,los angeles_and_sacramento.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,monterey_and_san diego.json,newport beach_and_oakland.json,newport beach_and_san jose.json,newport beach_and_stockton.json,pasadena_and_san francisco.json,sacramento_and_santa ana.json,santa ana_and_stockton.json","A_D2MOIz-qs,f5XT7DAuB6s,8LOdIIMHeDc"
orchard village road,residential,1,"Orchard Village Road, Newhall, Santa Clarita, Los Angeles County, California, 91355, United States of America",-118.5468352,34.3890817,3,"beverly hills_and_santa clarita.json,long beach_and_santa clarita.json,los angeles_and_santa clarita.json","zUqOvaWlL9s,Gd-beD4nUi4,JMWOQOlJW4Q"
la laguna,hamlet,1,"Laguna, Sacramento County, California, United States of America",-121.4238413,38.4210209,1,beverly hills_and_santa cruz.json,"mvo0iz8Nxh8,F9dV3LXV2os,eFdUXU9ZGls"
stockton & san jose,secondary,2,"Stockton Avenue, College Park, Rose Garden, San José, Santa Clara County, California, 95126, United States of America",-121.9131994,37.3404469,16,"bakersfield_and_san francisco.json,beverly hills_and_fresno.json,beverly hills_and_sacramento.json,beverly hills_and_san jose.json,fresno_and_long beach.json,fresno_and_san bernardino.json,fresno_and_santa ana.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_stockton.json,newport beach_and_oakland.json,newport beach_and_san jose.json,oakland_and_santa ana.json,sacramento_and_santa ana.json,san francisco_and_stockton.json,santa ana_and_stockton.json","iKnAVFCyShE,EC2aTlQ0ij4,WeMeTomdIkY"
entire usa,peak,1,"View of entire coastline - Sunset / Sunrise, Riverside County, California, United States of America",-117.3446819,33.49541,1,avalon_and_oakland.json,"5S-UfvHRFwA,os83Z9hoc4Q,EHkN8VA9lRM"
sequoia national forest,national_park,1,"Sequoia National Forest, Chanell, Kern County, California, 93238, United States of America",-118.407510546279,35.81102455,1,fresno_and_irvine.json,"BAGEvwNrhzQ,GVfxeGlBIiU,PokeLA3Uvgs"
scotland,hamlet,11,"Scotland, San Bernardino County, California, United States of America",-117.4981065,34.242229,17,"anaheim_and_santa clarita.json,beverly hills_and_sausalito.json,berkeley_and_pismo beach.json,beverly hills_and_san diego.json,fremont_and_santa barbara.json,huntington beach_and_san jose.json,long beach_and_oakland.json,malibu_and_riverside.json,napa_and_pismo beach.json,napa_and_temecula.json,pismo beach_and_riverside.json,pismo beach_and_sausalito.json,pismo beach_and_temecula.json,sacramento_and_temecula.json,san luis obispo_and_temecula.json,santa barbara_and_temecula.json,sausalito_and_temecula.json","LTvJd9W1nnQ,OxKlCoeczgM,dIxcMMwiVTA"
