"mention_name@blogSrc","mention_type@blogSrc","mention_popularity@blogSrc","mention_address@blogSrc","mention_longitude@blogSrc","mention_latitude@blogSrc","no_of_blogFiles@blogSrc","mention_found_in_blogFiles@blogSrc","youTubeLinkIds@blogSrc","attraction_in@tripAdvisorSrc","attraction_longitude@tripAdvisorSrc","attraction_latitude@tripAdvisorSrc","attraction_in_file@tripAdvisorSrc","youTubeLinkIds@tripAdvisorSrc","mention_long_round","mention_lat_round"
"tijuana","city","12","Tijuana, Baja California, M������xico","-116.9641656","32.5008626","66","anaheim_and_carlsbad.json,anaheim_and_san francisco.json,anaheim_and_san luis obispo.json,anaheim_and_stockton.json,avalon_and_carlsbad.json,avalon_and_mammoth lakes.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,bakersfield_and_newport beach.json,bakersfield_and_riverside.json,berkeley_and_carlsbad.json,beverly hills_and_san diego.json,beverly hills_and_temecula.json,big bear lake_and_san jose.json,big bear lake_and_santa barbara.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_santa monica.json,huntington beach_and_san luis obispo.json,irvine_and_pismo beach.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_santa barbara.json,carlsbad_and_los angeles.json,huntington beach_and_san jose.json,malibu_and_pasadena.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_stockton.json,monterey_and_san diego.json,malibu_and_monterey.json,newport beach_and_sacramento.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,pasadena_and_pismo beach.json,pasadena_and_san francisco.json,pasadena_and_san luis obispo.json,pasadena_and_santa cruz.json,pasadena_and_stockton.json,pismo beach_and_san diego.json,pismo beach_and_santa monica.json,sacramento_and_santa barbara.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san diego_and_san jose.json,san diego_and_santa barbara.json,san diego_and_stockton.json,san diego_and_temecula.json,san francisco_and_santa barbara.json,san francisco_and_temecula.json,sacramento_and_san diego.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa monica.json,santa barbara_and_stockton.json,santa monica_and_stockton.json,santa monica_and_temecula.json,stockton_and_temecula.json","cVcPYjk6foI,LMvKNbqdYeQ,vFBWfwL8s2I","Tijuana","-116.9641656","32.5008626","tijuana.json","T-G0VHBxLtE,dwxv6AU7WR4,vFBWfwL8s2I","-116.96","32.50"
"imperial beach","city","1","Imperial Beach, San Diego County, California, United States of America","-117.1130848","32.5839444","16","anaheim_and_carlsbad.json,anaheim_and_san francisco.json,avalon_and_carlsbad.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_los angeles.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json","Q3b37YM47uk,qbLnWiBG2fU,zRGsI3p6xGM","Imperial Beach","-117.1130848","32.5839444","imperial_beach.json","2_O-fn64Y5k,xEfmjaDOHck,SgYedflCuxA","-117.11","32.58"
"mexicali","city","1","Mexicali, Baja California, 21000, M������xico","-115.4440697","32.6200699","1","big bear lake_and_sausalito.json","s56xMKWR9r8,9wphTkfPsHA,f3896zn8mcY","Mexicali","-115.4440697","32.6200699","mexicali.json","f_lGhkKUh64,Koj6aYIZaM4","-115.44","32.62"
"chula vista","city","2","Chula Vista, San Diego County, California, United States of America","-117.0841954","32.6400541","32","anaheim_and_carlsbad.json,anaheim_and_san francisco.json,avalon_and_carlsbad.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,berkeley_and_san diego.json,beverly hills_and_temecula.json,carlsbad_and_fremont.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,fremont_and_san diego.json,fresno_and_san diego.json,huntington beach_and_san diego.json,irvine_and_san diego.json,carlsbad_and_los angeles.json,malibu_and_san diego.json,napa_and_san diego.json,oakland_and_san diego.json,pasadena_and_san diego.json,pismo beach_and_san diego.json,riverside_and_san diego.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san diego_and_santa ana.json,san diego_and_santa clarita.json,san diego_and_stockton.json,san francisco_and_temecula.json,sacramento_and_san diego.json,san jose_and_temecula.json","7TSncjLDuRw,CpWXojAD72Q,-V5AedjACys","Chula Vista","-117.0841954","32.6400541","chula_vista.json","HvfXM8xIHKw,2D1y5CjjuHM,9q69ygxjsXw","-117.08","32.64"
"national city","city","3","National City, San Diego County, California, United States of America","-117.0991966","32.6781085","20","anaheim_and_carlsbad.json,anaheim_and_san francisco.json,avalon_and_carlsbad.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,fremont_and_santa ana.json,carlsbad_and_los angeles.json,los angeles_and_temecula.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san diego_and_temecula.json,san francisco_and_temecula.json,san jose_and_temecula.json,stockton_and_temecula.json","mtQnB1T0Vvg,Gqlm1m-qxb8,IPV9KQjv1D4","National City","-117.0991966","32.6781085","national_city.json","na3NeIRnPic,OvXGh_Pv6qg,Y9qZf_imVTs","-117.10","32.68"
"coronado","city","5","Coronado, San Diego County, California, United States of America","-117.183089","32.6858854","23","anaheim_and_carlsbad.json,avalon_and_carlsbad.json,beverly hills_and_pismo beach.json,avalon_and_santa barbara.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_san luis obispo.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san jose.json,carlsbad_and_santa barbara.json,fremont_and_santa barbara.json,long beach_and_san diego.json,long beach_and_temecula.json,monterey_and_san diego.json,newport beach_and_santa barbara.json,pismo beach_and_san bernardino.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,sacramento_and_san bernardino.json,san jose_and_temecula.json","KGM6i-1ozPk,7q3gTTYBjW0,TxD9E_TTowA","Coronado","-117.183089","32.6858854","coronado.json","ptokz5eklj4,pWdciCJEeNM,7q3gTTYBjW0","-117.18","32.69"
"lemon grove","city","2","Lemon Grove, San Diego County, California, United States of America","-117.0314171","32.7425516","16","anaheim_and_carlsbad.json,anaheim_and_san francisco.json,avalon_and_carlsbad.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_los angeles.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json","Uu9dxMMLGyU,FwKqkX6yhmc,J7IMwop3RHs","Lemon Grove","-117.0314171","32.7425516","lemon_grove.json","istDebaH1cY,ZvQXPd3145k,E91X_cD-tqk","-117.03","32.74"
"el cajon","city","4","El Cajon, San Diego County, California, United States of America","-116.9625268","32.7947731","21","anaheim_and_carlsbad.json,anaheim_and_san francisco.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_long beach.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,fresno_and_san bernardino.json,carlsbad_and_los angeles.json,long beach_and_oakland.json,oakland_and_san bernardino.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json","fhEFNI7GFIk,nVw4D2nnmSE,wHGkQBxT_2A","El Cajon","-116.9625268","32.7947731","el_cajon.json","A3JnpjHXrwQ,W5zsPT1XiRo,PanYkUTgFPQ","-116.96","32.79"
"el centro","city","3","El Centro, Imperial County, California, United States of America","-115.5630513","32.792","5","big bear lake_and_santa barbara.json,pasadena_and_san diego.json,san francisco_and_santa barbara.json,san luis obispo_and_santa ana.json,sausalito_and_temecula.json","KqdAPdZSEdI,cTAMJ0JNqgU,BJmK4LFbNNQ","El Centro","-115.5630513","32.792","el_centro.json","vJ-hAEbN-RE,1vVowvEd5gA,5LCp_8C6hE0","-115.56","32.79"
"santee","city","1","Santee, San Diego County, California, United States of America","-116.9739166","32.8383828","17","anaheim_and_carlsbad.json,anaheim_and_san francisco.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_los angeles.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json","b79J9qDCKco,vWNIWOM0OVQ","Santee","-116.9739166","32.8383828","santee.json","A3JnpjHXrwQ,sVR_SoQkOAY,RkQAtnvYsXU","-116.97","32.84"
