"mention_name","mention_type","mention_popularity","mention_address","mention_longitude","mention_latitude","no_of_blogFiles","mention_found_in_blogFiles","youTubeLinkIds"
"' garden grove","city","1","Garden Grove, Orange County, California, United States of America","-117.9463716","33.7746292","1","long beach_and_riverside.json","NxDO8PipeBw,si3vpXhIJaQ,cRTMSsMMFs0"
"alhambra","city","8","Alhambra, Los Angeles County, California, United States of America","-118.1268241","34.0927361","42","anaheim_and_fresno.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_monterey.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,big bear lake_and_santa clarita.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_santa ana.json,fresno_and_temecula.json,huntington beach_and_pasadena.json,irvine_and_malibu.json,irvine_and_oakland.json,irvine_and_sacramento.json,fresno_and_riverside.json,irvine_and_pasadena.json,irvine_and_temecula.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,long beach_and_temecula.json,malibu_and_riverside.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,pasadena_and_temecula.json,riverside_and_santa monica.json,sacramento_and_santa ana.json,san bernardino_and_santa ana.json,san bernardino_and_santa monica.json,pasadena_and_san bernardino.json,santa monica_and_temecula.json","DpsQbnup0oE,zmnOI4xmv8U,0zHkAowMKrU"
"alturas","city","1","Alturas, Modoc County, California, United States of America","-120.542327","41.487123","1","mammoth lakes_and_temecula.json","3iMrKlVvkDI,EnBbz6lDl9Q,M4lQHTLJSCE"
"amador city","city","1","Amador City, Amador County, California, United States of America","-120.8241029","38.4193553","4","avalon_and_mammoth lakes.json,mammoth lakes_and_napa.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san jose.json","LGOHqf2eMro,vSJWnsNqLhM,wOLTCjB4l5U"
"amador cty","city","1","Amador City, Amador County, California, United States of America","-120.8241029","38.4193553","10","avalon_and_sacramento.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,irvine_and_sacramento.json,monterey_and_sacramento.json,napa_and_sacramento.json,sacramento_and_sausalito.json,sacramento_and_san francisco.json","IbBKeHeFPDo,8Oc50tGXBjU,gcoegS-2dVg"
"anaheim ca usa","city","1","Anaheim, Orange County, California, United States of America","-117.9117319","33.8347516","1","anaheim_and_avalon.json","-9LgTLJsYEg,3Q_pBJGK914,nc0OsJt7Pco"
"anaheim garden grove","city","1","Anaheim, Orange County, California, United States of America","-117.9117319","33.8347516","1","anaheim_and_los angeles.json","fl9-oTGdxJc,eqYexg5JJMQ,g8U2ADBgOPI"
"anaheim grove","city","2","Anaheim, Orange County, California, United States of America","-117.9117319","33.8347516","2","anaheim_and_avalon.json,avalon_and_huntington beach.json","Ueylu74bq_c,5APZJtE7ek0,Wxl8DESOLoU"
"anaheim park","city","1","Anaheim, Orange County, California, United States of America","-117.9117319","33.8347516","1","anaheim_and_fremont.json","oEpL0i_GFuA,phrkgtQ-z3s,nc0OsJt7Pco"
"anaheim route","city","5","Anaheim, Orange County, California, United States of America","-117.9117319","33.8347516","3","anaheim_and_big bear lake.json,anaheim_and_san bernardino.json,anaheim_and_sausalito.json","VA05IeZgMtU,xveTH31Ekjc,-lYVddKuLnQ"
"anaheim/orange county","city","2","Anaheim, Orange County, California, United States of America","-117.9117319","33.8347516","12","anaheim_and_avalon.json,anaheim_and_irvine.json,carlsbad_and_santa ana.json,fremont_and_santa ana.json,fresno_and_santa ana.json,irvine_and_san diego.json,los angeles_and_santa ana.json,oakland_and_santa ana.json,sacramento_and_santa ana.json,san diego_and_santa ana.json,san francisco_and_santa ana.json,santa ana_and_stockton.json","v16pTA1eRwg,iVNv9lfILmI,c6ikVUDjk5g"
"angeles county","city","3","LA, Los Angeles County, California, United States of America","-118.2439408","34.0543942","3","avalon_and_huntington beach.json,beverly hills_and_pasadena.json,mammoth lakes_and_santa clarita.json","-Y5TckmBYoQ,DFQ-oxhdFjE,TjLkZpot_JA"
