"mention_name@blogNonCitySrc","mention_type@blogNonCitySrc","mention_popularity@blogNonCitySrc","mention_address@blogNonCitySrc","zip_code@blogNonCitySrc","mention_longitude@blogNonCitySrc","mention_latitude@blogNonCitySrc","no_of_blogFiles@blogNonCitySrc","mention_found_in_blogFiles@blogNonCitySrc","attraction_name@tripAdvMentionsSrc","attraction_knownFor@tripAdvMentionsSrc","attraction_reviewComment@tripAdvMentionsSrc","attraction_ranking@tripAdvMentionsSrc","attraction_no_of_reviews@tripAdvMentionsSrc","attraction_contact@tripAdvMentionsSrc","attraction_in@tripAdvMentionsSrc","attraction_address@tripAdvMentionsSrc","zip_code@tripAdvMentionsSrc","attraction_longitude@tripAdvMentionsSrc","attraction_latitude@tripAdvMentionsSrc","attraction_url@tripAdvMentionsSrc","attraction_in_file@tripAdvMentionsSrc","youTubeLinkIds@tripAdvMentionsSrc","Confidence"
"channel islands harbor","dock","2","""Channel Islands Harbor, Ventura County, California, United States of America""","","-119.2242751","34.1641716","19","""beverly hills_and_pismo beach.json,bakersfield_and_santa monica.json,berkeley_and_malibu.json,berkeley_and_santa monica.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_santa barbara.json,irvine_and_santa monica.json,huntington beach_and_malibu.json,los angeles_and_malibu.json,long beach_and_malibu.json,malibu_and_napa.json,malibu_and_pasadena.json,malibu_and_san francisco.json,malibu_and_santa barbara.json,malibu_and_santa monica.json,malibu_and_monterey.json,newport beach_and_san francisco.json,san francisco_and_santa clarita.json""","Channel Islands Harbor","""Piers & Boardwalks , Sights & Landmarks""","Peninsula Yacht Marina seems the best deal in town. Very kewel people in the office and good availability (Oct2016) of slips. Bring a 30A(fem) to 3-prong(male) adapter for their... read more","2","146","+1 805-985-4852","Oxnard","""3810 W Channel Islands Blvd , Suite E , Oxnard , CA 93035-4079""","93035","","","https://www.tripadvisor.com/Attraction_Review-g32837-d531817-Reviews-Channel_Islands_Harbor-Oxnard_California.html","oxnard.json","""wGWAo2xvRRQ,kgqgbVS8ayc,YtVceinvOJ4""","100"
"bubblegum alley","attraction","2","""Bubblegum Alley, San Luis Obispo, San Luis Obispo County, California, 93405, United States of America""","93405","-120.6638629","35.2791663","99","""avalon_and_monterey.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,bakersfield_and_san luis obispo.json,berkeley_and_newport beach.json,berkeley_and_pismo beach.json,berkeley_and_huntington beach.json,big bear lake_and_san luis obispo.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_pismo beach.json,fremont_and_san luis obispo.json,fremont_and_santa barbara.json,fremont_and_santa monica.json,fresno_and_pismo beach.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,irvine_and_pismo beach.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_pismo beach.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa cruz.json,long beach_and_stockton.json,los angeles_and_pismo beach.json,los angeles_and_san jose.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_stockton.json,monterey_and_pismo beach.json,monterey_and_san diego.json,monterey_and_san luis obispo.json,napa_and_newport beach.json,napa_and_pismo beach.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,newport beach_and_santa cruz.json,newport beach_and_stockton.json,oakland_and_san luis obispo.json,pasadena_and_pismo beach.json,pismo beach_and_riverside.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_santa clarita.json,pismo beach_and_santa cruz.json,pismo beach_and_santa monica.json,pismo beach_and_stockton.json,san bernardino_and_san francisco.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_sausalito.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,newport beach_and_pismo beach.json,oakland_and_pismo beach.json,san jose_and_santa monica.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_sausalito.json,san luis obispo_and_stockton.json,santa barbara_and_stockton.json,santa cruz_and_santa monica.json,santa monica_and_stockton.json""","Bubblegum Alley","","""Walking down the main street and found Bubblegum Alley, between 2 stores. It is gross, but worth a peek, for a few minutes.""","6","574","","San Luis Obispo","""700 block of Higuera Street , San Luis Obispo , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g33026-d249402-Reviews-Bubblegum_Alley-San_Luis_Obispo_San_Luis_Obispo_County_California.html","san_luis_obispo.json","""VRHojR3murE,XORgBIcd3_U,LSmXXcQMdS0""","100"
"sunset cliffs natural park","park","1","""Sunset Cliffs Natural Park, Sunset Cliffs Boulevard, San Diego, San Diego County, California, 92107, United States of America""","92107","-117.257470600431","32.7246785","1","sausalito_and_temecula.json","Sunset Cliffs Natural Park","Nature & Parks","this is a great natural place to view the pacific skyline and hike down to an awesome beach for swimming and walking","8","""1,394""","","San Diego","""1253 Sunset Cliffs Blvd , San Diego , CA 92107-4015""","92107","","","https://www.tripadvisor.com/Attraction_Review-g60750-d2476269-Reviews-Sunset_Cliffs_Natural_Park-San_Diego_California.html","san_diego.json","""IH1GAmj4n3c,M52POMWUpX0,vLSNScmYV9w""","100"
"alcazar garden","theatre","1","""Alcazar Theatre, 650, Geary Street, Nob Hill, SF, California, 94109, United States of America""","94109","-122.41410859076","37.7868699","1","berkeley_and_san diego.json","Alcazar Garden","","Yet another free thing to do at Balboa Park. The hedges are badly in need of a trim (as you may be able to see from the photos). Pretty much a walk through all the same...","160","28","+1 619-239-0512","San Diego","""El Prado at Park Boulevard , San Diego , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g60750-d156155-Reviews-Alcazar_Garden-San_Diego_California.html","san_diego.json","""OtNEmt8pWgI,sz02fKNbic4,noQ0ELeL27M""","100"
"manzanita lake","hamlet","1","""Manzanita Lake, Shasta County, California, United States of America""","","-121.5622337","40.5360818","6","""avalon_and_sacramento.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,irvine_and_sacramento.json,monterey_and_sacramento.json""","Manzanita Lake","""Bodies of Water , Nature & Parks""","""This lake gives you some amazing views and is a great picnic spot. Although you can go around the whole lake, we just did one side of it as we were running late. But the lake is... read more""","3","106","","Lassen Volcanic National Park","""Lassen Volcanic National Park, CA""","","-121.404335848657","40.49138385","https://www.tripadvisor.com/Attraction_Review-g143042-d145161-Reviews-Manzanita_Lake-Lassen_Volcanic_National_Park_California.html","lassen_volcanic_national_park.json","""TcUSYNGon_s,6kmm7LFTHjo,DvuUd95FIBA""","100"
"marin headlands","park","15","""Marin Headlands (GGNRA), Old Springs Trail, Marin City, Marin County, California, 94941, United States of America""","94941","-122.534327312107","37.856162","42","""avalon_and_napa.json,avalon_and_sacramento.json,anaheim_and_napa.json,bakersfield_and_napa.json,bakersfield_and_sacramento.json,bakersfield_and_san francisco.json,bakersfield_and_sausalito.json,berkeley_and_napa.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,berkeley_and_san francisco.json,carlsbad_and_napa.json,fremont_and_napa.json,fremont_and_san francisco.json,fresno_and_san francisco.json,irvine_and_sacramento.json,long beach_and_san francisco.json,long beach_and_sausalito.json,los angeles_and_sausalito.json,malibu_and_sausalito.json,monterey_and_sacramento.json,napa_and_pasadena.json,napa_and_sacramento.json,napa_and_san bernardino.json,napa_and_san diego.json,napa_and_san francisco.json,napa_and_san jose.json,napa_and_stockton.json,oakland_and_san francisco.json,oakland_and_santa cruz.json,oakland_and_sausalito.json,pasadena_and_san francisco.json,riverside_and_san francisco.json,sacramento_and_sausalito.json,san bernardino_and_sausalito.json,san francisco_and_sausalito.json,san francisco_and_temecula.json,newport beach_and_sausalito.json,sacramento_and_san francisco.json,napa_and_sausalito.json,san jose_and_sausalito.json,santa monica_and_sausalito.json""","Marin Headlands","""Nature & Wildlife Areas , State Parks , Nature & Parks""","""I don't know how we missed this place on the numerous times we have been in San Fransisco? On the way back from Napa, just as the sun was going down, we stopped off and went up... read more""","2","""1,731""","415-331-1540","Marin County","""Golden Gate National Recreation Area , CA 94965""","94965","-122.5177517","37.8499275","https://www.tripadvisor.com/Attraction_Review-g155988-d103182-Reviews-Marin_Headlands-Marin_County_California.html","marin_county.json","""RJ0F0cDXiBY,HjjoSmkiZ2Q,iwoEYxvaZnI""","100"
"forest hill","neighbourhood","1","""Forest Hill, SF, California, 9412, United States of America""","","-122.4635824","37.7474307","3","""berkeley_and_san francisco.json,oakland_and_san francisco.json,sacramento_and_san francisco.json""","Forest Hill","","I enjoyed visiting Forest Hill. Small town feel. They have a great funky gift shop with a super friendly owner. I had lunch at the little cafe that was good.","5","23","","Auburn","""Auburn , CA""","","-121.0739896","38.8945939","https://www.tripadvisor.com/Attraction_Review-g29120-d142942-Reviews-Forest_Hill-Auburn_California.html","auburn.json","""mc3skmPrn_w,y4hEwz5_9-8""","100"
"fremont park","park","1","""Fremont Park, 1515, Q Street, Sacramento, Sacramento County, California, 95811, United States of America""","95811","-121.489038258322","38.5709825","1","fremont_and_sacramento.json","Fremont Park","","""The park has a lot of interesting games for all ages, tennis, basketball, wade pool, great jungle gyms for younger and older kids. There is a lot of shade and picnic areas. The... read more""","12","5","","Glendale","""600 Hanh Avenue , Glendale , CA 91203""","91203","","","https://www.tripadvisor.com/Attraction_Review-g32431-d7929165-Reviews-Fremont_Park-Glendale_California.html","glendale.json","""LP-LD_BObak,DvaLkxOTLVs,tyRMGjY-zEM""","100"
"morro rock","peak","16","""Morro Rock, Morro Bay, San Luis Obispo County, California, United States of America""","","-120.8676993","35.369669","58","""anaheim_and_san luis obispo.json,avalon_and_oakland.json,avalon_and_pismo beach.json,avalon_and_sacramento.json,avalon_and_san luis obispo.json,bakersfield_and_san bernardino.json,bakersfield_and_fremont.json,bakersfield_and_san diego.json,bakersfield_and_san luis obispo.json,bakersfield_and_stockton.json,berkeley_and_san luis obispo.json,beverly hills_and_san francisco.json,beverly hills_and_san luis obispo.json,big bear lake_and_napa.json,carlsbad_and_oakland.json,fremont_and_san luis obispo.json,fresno_and_irvine.json,fresno_and_sacramento.json,fresno_and_san diego.json,fresno_and_san luis obispo.json,fresno_and_stockton.json,irvine_and_monterey.json,irvine_and_san luis obispo.json,carlsbad_and_san luis obispo.json,long beach_and_oakland.json,long beach_and_pismo beach.json,long beach_and_san luis obispo.json,los angeles_and_monterey.json,los angeles_and_sacramento.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_san luis obispo.json,los angeles_and_stockton.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,monterey_and_pismo beach.json,monterey_and_sacramento.json,monterey_and_san luis obispo.json,oakland_and_san luis obispo.json,pasadena_and_san luis obispo.json,pismo beach_and_sacramento.json,pismo beach_and_san jose.json,riverside_and_san luis obispo.json,sacramento_and_san luis obispo.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,sacramento_and_san diego.json,oakland_and_pismo beach.json,san luis obispo_and_santa barbara.json,san luis obispo_and_santa cruz.json,san luis obispo_and_stockton.json,san luis obispo_and_temecula.json,stockton_and_temecula.json""","Morro Rock","""Geologic Formations , Nature & Parks""","The prettiest view and loved the sea otters and seals! A picture is worth a thousand words! A must see on the PCH","1","""1,368""","","Morro Bay","""Morro Bay , CA 93442""","93442","-120.8443454","35.3469188","https://www.tripadvisor.com/Attraction_Review-g32746-d292801-Reviews-Morro_Rock-Morro_Bay_San_Luis_Obispo_County_California.html","morro_bay.json","""HWFAdG42A38,r8N1Sj5Qshk,FJZttoB41bg""","100"
"presidio park","park","2","""Presidio Park, Cosoy Way, Old Town, San Diego, San Diego County, California, 92103, United States of America""","92103","-117.1944791","32.7572722","12","""berkeley_and_san diego.json,carlsbad_and_san diego.json,fresno_and_pasadena.json,malibu_and_san jose.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_temecula.json,malibu_and_monterey.json,pasadena_and_sacramento.json,riverside_and_san jose.json,sacramento_and_temecula.json,san jose_and_temecula.json""","Presidio Park","","As a child I remember it being so lush and my sister got married there but now due to the drought it is brown. The fort itself and reading the history is interesting.","162","34","+1 619-236-6643","San Diego","""Presidio Drive at Taylor Street , San Diego , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g60750-d156288-Reviews-Presidio_Park-San_Diego_California.html","san_diego.json","""h1AZDKuGA84,8wjtbklj1G4,qK9Cubp8ZKk""","100"
