attraction_in,attraction_longitude,attraction_latitude,attraction_in_file
San Francisco,-122.4192362,37.7792808,san_francisco.json
Sausalito,-122.4854693,37.8590272,sausalito.json
Mill Valley,-122.5449762,37.9060368,mill_valley.json
Muir Beach,-122.5813666,37.8621493,muir_beach.json
Marin County,-122.6199637,38.0409144,marin_county.json
Stinson Beach,-122.64508,37.9008084,stinson_beach.json
South San Francisco,-122.408125,37.6549493,south_san_francisco.json
San Bruno,-122.4110834,37.6304904,san_bruno.json
Millbrae,-122.3871941,37.5985468,millbrae.json
Burlingame,-122.3660824,37.5841026,burlingame.json
San Mateo,-122.3330572,37.496904,san_mateo.json
Foster City,-122.2688521,37.5600336,foster_city.json
San Carlos,-122.266149723864,37.4982065,san_carlos.json
Belmont,-122.2758007,37.5202145,belmont.json
Woodside,-122.2538556,37.4299388,woodside.json
Mountain View,-122.0820499,37.3855745,mountain_view.json
San Jose,-121.8905832,37.3361905,san_jose.json
Santa Clara,-121.9551743,37.3541132,santa_clara.json
Sunnyvale,-122.0363495,37.3688301,sunnyvale.json
Alviso,-121.9752372,37.426051,alviso.json
Morgan Hill,-121.6544973,37.130408,morgan_hill.json
San Martin,-121.594504497603,37.089655,san_martin.json
Mount Hamilton,-121.6430016,37.3418834,mount_hamilton.json
Gilroy,-121.5631722,37.0065078,gilroy.json
Milpitas,-121.9066237,37.4282724,milpitas.json
Sunol,-121.8885682,37.5943781,sunol.json
Fremont,-121.9885718,37.5482697,fremont.json
Hollister,-121.401602,36.8524545,hollister.json
San Juan Bautista,-121.5379893,36.8455173,san_juan_bautista.json
Pleasanton,-121.8746788,37.6624312,pleasanton.json
Union City,-122.0816296,37.5963232,union_city.json
Hayward,-122.0807963,37.6688205,hayward.json
Palo Alto,-122.1634471,37.442156,palo_alto.json
Salinas,-121.6550371,36.6744117,salinas.json
Dublin,-121.9357917,37.7021521,dublin.json
Stanford,-122.170187551249,37.4265649,stanford.json
Menlo Park,-122.182187,37.4538274,menlo_park.json
San Ramon,-121.9780152,37.7799273,san_ramon.json
Danville,-121.9999605,37.8215929,danville.json
Atherton,-122.1977429,37.4613272,atherton.json
Cupertino,-122.0322518,37.3230107,cupertino.json
La Honda,-122.2741351,37.3191086,la_honda.json
Oakland,-122.2713562,37.8044557,oakland.json
St. Helena,-122.4700423,38.5052288,st._helena.json
Rutherford,-122.4224789,38.458521,rutherford.json
Saratoga,-122.0230145,37.2638324,saratoga.json
Los Altos,-122.1165779,37.3790629,los_altos.json
Los Gatos,-121.9746796,37.226611,los_gatos.json
Pescadero,-122.3821926,37.2516018,pescadero.json
Felton,-122.0732905,37.0513364,felton.json
Boulder Creek,-116.6881243,32.9726949,boulder_creek.json
Castro Valley,-122.090287657374,37.715818,castro_valley.json
Alameda,-121.8991419,37.6090291,alameda.json
San Leandro,-122.1560767,37.7249296,san_leandro.json
Napa,-122.2855292,38.2971367,napa.json
San Gregorio,-122.3865766,37.3269168,san_gregorio.json
American Canyon,-122.2608043,38.1749179,american_canyon.json
Vallejo,-122.2566366,38.1040864,vallejo.json
