attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_url,attraction_in_file,youTubeLinkIds
Golden Gate Bridge,,We hired bikes and rode over the bridge. It was not difficult as there was little wind that day. Great views of the city and Alcatraz and easy rise on to Sausalito. Something not... read more,2,"32,693",415-921-5858,San Francisco,"Lincoln Boulevard, near Doyle Drive and Fort Point , San Francisco , CA 94129",https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-Golden_Gate_Bridge-San_Francisco_California.html,san_francisco.json,"WcSUs9iZv-g,PZxom4hzu0o,lyFVxRn7zzQ"
Vista Point,"Lookouts , Sights & Landmarks",Whilst visiting San Frannie this is a must. There is a parking lot which is free and once you are parked you can walk or ride over the bridge. You can see Alcatraz from the... read more,1,310,14159215858,Sausalito,"US-101 , Golden Gate Bridge , Sausalito , CA 94965",https://www.tripadvisor.com/Attraction_Review-g33062-d7717211-Reviews-Vista_Point-Sausalito_Marin_County_California.html,sausalito.json,"DLyqSQhS6E0,0m7aX4uBFg4,Wgix5FkEhbI"
Cable Cars,"Neighborhood: Nob Hill Tramways , Transportation ",We jumped on the cable cars and took a tour through San Fran. Recommend getting in line early so you can have a good outside seat or hang on the outside rails. Pretty cool to... read more,12,"13,607",415 673 6864,San Francisco,"San Francisco , CA",https://www.tripadvisor.com/Attraction_Review-g60713-d104821-Reviews-Cable_Cars-San_Francisco_California.html,san_francisco.json,"fFRkpvvop3I,B186qiXlpZ4,gnKRhR4_Szo"
Lombard Street,"Neighborhood: Russian Hill Points of Interest & Landmarks , Sights & Landmarks ",Fun to see. We looked from the top down. In spite of the steep hill and switchback turns some people made the drive down which was also fun to watch. Doesn't take much time and is... read more,19,"9,053",415-391-2000,San Francisco,"San Francisco , CA 94109",https://www.tripadvisor.com/Attraction_Review-g60713-d106232-Reviews-Lombard_Street-San_Francisco_California.html,san_francisco.json,"dLcEeB-nLqE,dVmDiQqd6C8,mPBnR9jn0ZY"
San Francisco Bay,"Bodies of Water , Nature & Parks ","SF is by far my favorite U.S. city, much above NOLA and NYC. San Francisco is an unique, cosmopolitan and very picturesque city with many world renown attractions to include the... read more",4,"5,735",1-415-788-2222,San Francisco,"San Francisco , CA",https://www.tripadvisor.com/Attraction_Review-g60713-d106745-Reviews-San_Francisco_Bay-San_Francisco_California.html,san_francisco.json,"9-QPDr_LZls,ttQH4Xl0HCM,agoYM_Jmg40"
Alcatraz Island,,Well worth the money. Friendly tour guide. A real eye opener to the life inside alcatraz and the prisoners held there. Some fascinating facts about al capone and other inmates... read more,1,"36,158",415 981 7625,San Francisco,"Pier 33 , B201 Fort Mason , San Francisco , CA 94122",https://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz_Island-San_Francisco_California.html,san_francisco.json,"E6lFiHbcw2A,-UZov-gXGAo,DO153ueJX1A"
Battery Spencer,,Absolutely breathtakingly gorgeous. Recommend taking a bottle of wine and just sitting - relaxing fresh air magnificent view. Take an Uber - would not miss this opportunity!,5,65,(415) 561-4700,Sausalito,"Conzelman Road , Sausalito , CA 94965",https://www.tripadvisor.com/Attraction_Review-g33062-d8385811-Reviews-Battery_Spencer-Sausalito_Marin_County_California.html,sausalito.json,"0bvvqLDkaZw,VvL0p_18Z84,bkRIPNZnU9U"
Bay Area Discovery Museum,"Children's Museums , Science Museums , Specialty Museums , Museums , More",We got a Groupon to here and decided to go on a Saturday. Since there driver from home is over an hour we reached only by 11 am and initially I thought that we might not have... read more,8,166,415-339-3900,Sausalito,"557 McReynolds Rd , Sausalito , CA 94965-2614",https://www.tripadvisor.com/Attraction_Review-g33062-d103953-Reviews-Bay_Area_Discovery_Museum-Sausalito_Marin_County_California.html,sausalito.json,"FaAo_xFow3M,f3EWecrhj2g"
Sausalito Visitors Center,"Visitor Centers , Traveler Resources","Sausalito is a pretty town just on the other side of Golden Gate Bridge with a wonderful walkway along the water and outstanding views of San Francisco, Alcatraz, and the Bay... read more",4,266,415-332-0505,Sausalito,"Sausalito , CA",https://www.tripadvisor.com/Attraction_Review-g33062-d103952-Reviews-Sausalito_Visitors_Center-Sausalito_Marin_County_California.html,sausalito.json,"Wor9XXZhBr4,guCMwL6LzdI"
Muir Woods National Monument,"Forests , Nature & Wildlife Areas , National Parks , Nature & Parks , More ","We traveled to Muir woods as part of Dylan's tours, and enjoyed the peace and tranquility after being in San Francisco for a few days. It is a ten dollar per person fee to get... read more",1,"4,630",+1 415-388-2595,Mill Valley,"1 Muir Woods Rd , Mill Valley , CA 94941-4205",https://www.tripadvisor.com/Attraction_Review-g60909-d124638-Reviews-Muir_Woods_National_Monument-Mill_Valley_Marin_County_California.html,mill_valley.json,"rdcgxNB8848,OLwl3BwPspI,5ldc-IDfnLk"
