attraction_in,attraction_in_file
Srirangapatna,srirangapatna.json
Mandya,mandya.json
Kanakapura,kanakapura.json
Belakavadi,belakavadi.json
Bengaluru,bengaluru.json
Mysuru (Mysore),mysuru_(mysore).json
Ramnagaram,ramnagaram.json
Manchanabele,manchanabele.json
Ramanagara,ramanagara.json
Dabguli,dabguli.json
Siddapura,siddapura.json
Bellary,bellary.json
Madikeri,madikeri.json
Subramanya,subramanya.json
Chikkaballapur,chikkaballapur.json
Chik Ballapur,chik_ballapur.json
Devanahalli,devanahalli.json
Channapatna,channapatna.json
Dharmasthala,dharmasthala.json
Sakleshpur,sakleshpur.json
Mangalore,mangalore.json
Sringeri,sringeri.json
Hassan,hassan.json
Chikamagalur,chikamagalur.json
Horanadu,horanadu.json
Udupi,udupi.json
Belur,belur.json
Belluru,belluru.json
Halebid,halebid.json
Pattadakal,pattadakal.json
Malpe,malpe.json
Kollur,kollur.json
Kundapur,kundapur.json
Sravanabelagola,sravanabelagola.json
Bhatkal,bhatkal.json
Shimoga,shimoga.json
Murudeshwara,murudeshwara.json
Harihar,harihar.json
Chitradurga,chitradurga.json
Davangere,davangere.json
Gadag,gadag.json
Koppal,koppal.json
Badami,badami.json
Hospet,hospet.json
Hampi,hampi.json
Dandeli,dandeli.json
Ganeshgudi,ganeshgudi.json
Karkala,karkala.json
Kalasa,kalasa.json
Kodagu (Coorg),kodagu_(coorg).json
Bandipur,bandipur.json
Chamarajanagar,chamarajanagar.json
Kakkabe,kakkabe.json
Kushalnagar,kushalnagar.json
Ponnampet,ponnampet.json
Bhagamandala,bhagamandala.json
Talacauvery,talacauvery.json
Gokarna,gokarna.json
Yana,yana.json
Sirsi,sirsi.json
Shiggaon,shiggaon.json
Hubli-Dharwad,hubli-dharwad.json
Somvarpet,somvarpet.json
Kudrasthe,kudrasthe.json
Magadi,magadi.json
Talakad,talakad.json
