Attraction@sourceA,City@sourceA,ReviewCount@sourceA,URL@sourceA,Address@sourceA,ContactNo@sourceA,Review@sourceA,Rank@sourceA,Total Attractions@sourceA,KnownFor@sourceA,name@sourceB,longitude@sourceB,latitude@sourceB,blogLinks@sourceB,address@sourceB,src@sourceB,dest@sourceB,Confidence
Ricardo Breceda Gallery & Sculpture Garden,Aguanga,8,https://www.tripadvisor.com/Attraction_Review-g29071-d10332607-Reviews-Ricardo_Breceda_Gallery_Sculpture_Garden-Aguanga_California.html,"44450 Hwy 79 , Aguanga , CA 92536",(951) 236-5896,,#1,2,,aguanga,-116.8650234,33.4428094,http://www.roadsideamerica.com/location/ca,"Aguanga, Riverside County, California, United States of America",anaheim,fresno,100
Stacy's Wine Tours,American Canyon,11,https://www.tripadvisor.com/Attraction_Review-g29091-d4431643-Reviews-Stacy_s_Wine_Tours-American_Canyon_Napa_Valley_California.html,"American Canyon , CA 94558",+1 707-266-6168,"??? Great wine & fun times! ??? I recently returned from a weekend girl's trip to Sonoma, CA. My friends organized a wine tour with ""Stacy's Wine Tours"". We corresponded with Stacy for weeks before our trip... read more Reviewed June 28, 2013 Joshua S , Houston, Texas Add Photo Write a Review 11 Reviews from our TripAdvisor Community Which American Canyon hotels are on sale? mm/dd/yyyy mm/dd/yyyy See hotels Sponsored links * See what travelers are saying: Traveler rating Excellent (11) Very good (0) Average (0) Poor (0) Terrible (0) Traveler type Families (1) Couples (7) Solo (0) Business (0) Friends (1) Time of year Mar-May (3) Jun-Aug (7) Sep-Nov (0) Dec-Feb (1) Language All languages English (11) Showing 11: English reviews Clear all Joshua S Houston, Texas Level Contributor 39 reviews 8 attraction reviews 26 helpful votes ??? Great wine & fun times! ??? Reviewed June 28, 2013 I recently returned from a weekend girl's trip to Sonoma, CA. My friends organized a wine tour with ""Stacy's Wine Tours"". We corresponded with Stacy for weeks before our trip & she was very friendly & knowledgeable. She even texted us the day of our arrival to suggest places for us to enjoy Champaign & lunch. We were lucky to... More Helpful? 1 Thank Joshua S Report Previous Next 1 2 Updating list... Travelers who viewed Stacy's Wine Tours also viewed Marshall's Farm 6 Reviews American Canyon, Napa Valley American Canyon Wetlands 8 Reviews American Canyon, Napa Valley California Winery Shuttle & Private Tours 6 Reviews American Canyon, Napa Valley Platypus Wine Tours 5,046 Reviews Napa, Napa Valley All things to do in American Canyon (4) Been to Stacy's Wine Tours? Share your experiences! Write a Review Add Photos & Videos Is This Your TripAdvisor Listing? Own or manage this property? Claim your listing for free to respond to reviews, update your profile and much more. Claim Your Listing Questions & Answers Questions? Get answers from Stacy's Wine Tours staff and past visitors. Hi, what would you like to know about this attraction? Posting guidelines Get notified about new answers to your questions. Ask Typical questions asked: Will you pick up and drop off at my hotel? I have a family of 7. Can your tour accommodate all of us together? How should I dress for this tour? Near Stacy's Wine Tours Top-rated Attractions Nearby 210 Reviews San Francisco Bay Ferry Vallejo Service 1,421 Reviews Six Flags Discovery Kingdom 6 Reviews Marshall's Farm Browse all attractions Top-rated Restaurants Nearby 22 Reviews Thai Kitchen American Canyon 27 Reviews Mi Zacatecas 19 Reviews Junction Brewery and Grill Browse all restaurants About Us | Site Map | Help Center ?? 2016 TripAdvisor LLC All rights reserved. TripAdvisor Terms of Use and Privacy Policy . * TripAdvisor LLC is not a booking agent and does not charge any service fees to users of our site... ( more ) TripAdvisor LLC is not responsible for content on external web sites. Taxes, fees not included for deals content.",#1,4,,american canyon rd,-122.199736,38.1691659,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,"American Canyon Road, Vallejo, Solano County, California, 94591, United States of America",anaheim,napa,100
Marshall's Farm,American Canyon,6,https://www.tripadvisor.com/Attraction_Review-g29091-d4573280-Reviews-Marshall_s_Farm-American_Canyon_Napa_Valley_California.html,"159 Lombard Rd , American Canyon , CA 94503-9610",800-624-4637,,#3,4,,american canyon rd,-122.199736,38.1691659,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,"American Canyon Road, Vallejo, Solano County, California, 94591, United States of America",anaheim,napa,100
California Winery Shuttle & Private Tours,American Canyon,6,https://www.tripadvisor.com/Attraction_Review-g29091-d1873751-Reviews-California_Winery_Shuttle_Private_Tours-American_Canyon_Napa_Valley_California.html,"100 Tower Rd , American Canyon , CA 94503-9650",707-704-8033,,#4,4,,american canyon rd,-122.199736,38.1691659,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,"American Canyon Road, Vallejo, Solano County, California, 94591, United States of America",anaheim,napa,100
American Canyon Wetlands,American Canyon,8,https://www.tripadvisor.com/Attraction_Review-g29091-d8614192-Reviews-American_Canyon_Wetlands-American_Canyon_Napa_Valley_California.html,"American Canyon , CA 94503",,,#2,4,,american canyon rd,-122.199736,38.1691659,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,"American Canyon Road, Vallejo, Solano County, California, 94591, United States of America",anaheim,napa,100
Central Coast Aquarium,Avila Beach,22,https://www.tripadvisor.com/Attraction_Review-g29124-d3474010-Reviews-Central_Coast_Aquarium-Avila_Beach_San_Luis_Obispo_County_California.html,"50 San Juan Street , Avila Beach , CA 93424",8055957280,,#9,21,,avila beach,-120.7318417,35.1799752,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,"Avila Beach, San Luis Obispo County, California, United States of America",anaheim,sacramento,100
Avila Hot Springs,Avila Beach,35,https://www.tripadvisor.com/Attraction_Review-g29124-d3961363-Reviews-Avila_Hot_Springs-Avila_Beach_San_Luis_Obispo_County_California.html,"250 Avila Beach Drive , Avila Beach , CA 93424",805 595 2359,,#8,21,,avila beach,-120.7318417,35.1799752,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,"Avila Beach, San Luis Obispo County, California, United States of America",anaheim,sacramento,100
Pirate's Cove Beach,Avila Beach,12,https://www.tripadvisor.com/Attraction_Review-g29124-d8474826-Reviews-Pirate_s_Cove_Beach-Avila_Beach_San_Luis_Obispo_County_California.html,"Avila Beach , CA",,,#10,21,,avila beach,-120.7318417,35.1799752,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,"Avila Beach, San Luis Obispo County, California, United States of America",anaheim,sacramento,100
St.John Vianney Chapel,Balboa Island,24,https://www.tripadvisor.com/Attraction_Review-g580459-d7726691-Reviews-St_John_Vianney_Chapel-Balboa_Island_Newport_Beach_California.html,"314 Marine Ave , Newport Beach , Balboa Island, CA 92662-1206",1-949-675-2221,,#2,6,,balboa island,-117.8920818,33.6064778,https://www.tripadvisor.com/Travel-g28926-c174834/California:United-States:Coast.Highway.Route.From.La.To.San.Diego.html,"Balboa Island, Newport Beach, Orange County, California, United States of America",anaheim,malibu,100
"Olive Oil and Beyond, Inc",Balboa Island,3,https://www.tripadvisor.com/Attraction_Review-g580459-d7318183-Reviews-Olive_Oil_and_Beyond_Inc-Balboa_Island_Newport_Beach_California.html,"210 Marine Ave Ste A , Newport Beach , Balboa Island, CA 92662-1275",949-566-9380,,#4,6,,balboa island,-117.8920818,33.6064778,https://www.tripadvisor.com/Travel-g28926-c174834/California:United-States:Coast.Highway.Route.From.La.To.San.Diego.html,"Balboa Island, Newport Beach, Orange County, California, United States of America",anaheim,malibu,100
