"_cached_page_id","_template","_type","address","attraction","attraction_in","contact","knownFor","no_of_reviews","ranking","reviewComment","url"
"f27898151d9d332e7a2f9dad0efa72b49adea1b4","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","Lincoln Boulevard, near Doyle Drive and Fort Point , San Francisco , CA 94129","Golden Gate Bridge","San Francisco","415-921-5858","","32,693","#2","We hired bikes and rode over the bridge. It was not difficult as there was little wind that day. Great views of the city and Alcatraz and easy rise on to Sausalito. Something not... read more","https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-Golden_Gate_Bridge-San_Francisco_California.html"
"ea0a594d33494d39cc83a78f660139c627b7b19e","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","Lincoln Boulevard, near Doyle Drive and Fort Point , San Francisco , CA 94129","Golden Gate Bridge","San Francisco","415-921-5858","","32,693","#2","Probably the most recognizable bridge in the world, the burnt orange hue in unmistakable. Built in the 1930's, it was marvel of technology and foresight. Awesome photos for the... read more","https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-or10-Golden_Gate_Bridge-San_Francisco_California.html"
"f424996a78b6f966793829552cae1efcd1c841fc","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","Lincoln Boulevard, near Doyle Drive and Fort Point , San Francisco , CA 94129","Golden Gate Bridge","San Francisco","415-921-5858","","32,693","#2","Don't leave without going over the Golden Gate bride either by car or bike . If you decide to bike make sure you are in fairly decent shape it is a jaunt especially with the wind","https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-or20-Golden_Gate_Bridge-San_Francisco_California.html"
"16782291405951e3400ee0862419172a37a9b575","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","US-101 , Golden Gate Bridge , Sausalito , CA 94965","Vista Point","Sausalito","14159215858","Lookouts , Sights & Landmarks","310","#1","Whilst visiting San Frannie this is a must. There is a parking lot which is free and once you are parked you can walk or ride over the bridge. You can see Alcatraz from the... read more","https://www.tripadvisor.com/Attraction_Review-g33062-d7717211-Reviews-Vista_Point-Sausalito_Marin_County_California.html"
"d42a7f7b444c4903704aa509640e6abd883c65cc","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","San Francisco , CA","Cable Cars","San Francisco","415 673 6864","Neighborhood: Nob Hill Tramways , Transportation As featured in San Francisco for families and 7 other guides Overview Tours & Tickets Reviews (13,607) Q&A (28) Location More Write a Review Save Book a Tour","13,607","#12","We jumped on the cable cars and took a tour through San Fran. Recommend getting in line early so you can have a good outside seat or hang on the outside rails. Pretty cool to... read more","https://www.tripadvisor.com/Attraction_Review-g60713-d104821-Reviews-Cable_Cars-San_Francisco_California.html"
"144e214907fa7d12b8307869a525f103dc83c8eb","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","San Francisco , CA 94109","Lombard Street","San Francisco","415-391-2000","Neighborhood: Russian Hill Points of Interest & Landmarks , Sights & Landmarks As featured in 3 Days in San Francisco and 8 other guides Overview Tours & Tickets Reviews (9,053) Q&A (7) Location More Write a Review Save Book a Tour","9,053","#19","Fun to see. We looked from the top down. In spite of the steep hill and switchback turns some people made the drive down which was also fun to watch. Doesn't take much time and is... read more","https://www.tripadvisor.com/Attraction_Review-g60713-d106232-Reviews-Lombard_Street-San_Francisco_California.html"
"1b150f06b0c5196958a950e6679272987144b299","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","San Francisco , CA","San Francisco Bay","San Francisco","1-415-788-2222","Bodies of Water , Nature & Parks As featured in SF in 3 days and 4 other guides Overview Tours & Tickets Reviews (5,735) Q&A (11) Location More Write a Review Save Book a Tour","5,735","#4","SF is by far my favorite U.S. city, much above NOLA and NYC. San Francisco is an unique, cosmopolitan and very picturesque city with many world renown attractions to include the... read more","https://www.tripadvisor.com/Attraction_Review-g60713-d106745-Reviews-San_Francisco_Bay-San_Francisco_California.html"
"237da479a004e944a667d1b564acbe324eccd7ab","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","Pier 33 , B201 Fort Mason , San Francisco , CA 94122","Alcatraz Island","San Francisco","415 981 7625","","36,158","#1","Well worth the money. Friendly tour guide. A real eye opener to the life inside alcatraz and the prisoners held there. Some fascinating facts about al capone and other inmates... read more","https://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz_Island-San_Francisco_California.html"
"b49ab72f3228a5e5285e9e13eec3789832ace412","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","Lincoln Boulevard, near Doyle Drive and Fort Point , San Francisco , CA 94129","Golden Gate Bridge","San Francisco","415-921-5858","","32,693","#2","July 22, 2005 we (two mommies and their children) set off for the eight mile ride from Fisherman's Wharf to Sausalito. Oh, the bridge looked so far away but we could not wait to... read more","https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-or21510-Golden_Gate_Bridge-San_Francisco_California.html"
"93675f75a3edb8a5b07d9084b5871914e297cac1","f1b17f12b271f090607ff7b6e95e4c1a06353518","sri-ranganathaswamy-temple-srirangapatna-india-t","Lincoln Boulevard, near Doyle Drive and Fort Point , San Francisco , CA 94129","Golden Gate Bridge","San Francisco","415-921-5858","","32,693","#2","No trip to San Fran is complete without at least a drive by the iconic Golden Gate Bridge! The vibrant red colour against the beautiful blue ocean makes for great photos! Best... read more","https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-or50-Golden_Gate_Bridge-San_Francisco_California.html"
