"subject","label","comment","abstract"
"http://dbpedia.org/resource/Golden_Gate_Bridge","Golden Gate Bridge","The Golden Gate Bridge is a suspension bridge spanning the Golden Gate strait, the one-mile-wide (1.6 km), three-mile-long (4.8 km) channel between San Francisco Bay and the Pacific Ocean. The structure links the American city of San Francisco, California – the northern tip of the San Francisco Peninsula – to Marin County, carrying both U.S. Route 101 and California State Route 1 across the strait. The bridge is one of the most internationally recognized symbols of San Francisco, California, and the United States. It has been declared one of the Wonders of the Modern World by the American Society of Civil Engineers.","The Golden Gate Bridge is a suspension bridge spanning the Golden Gate strait, the one-mile-wide (1.6 km), three-mile-long (4.8 km) channel between San Francisco Bay and the Pacific Ocean. The structure links the American city of San Francisco, California – the northern tip of the San Francisco Peninsula – to Marin County, carrying both U.S. Route 101 and California State Route 1 across the strait. The bridge is one of the most internationally recognized symbols of San Francisco, California, and the United States. It has been declared one of the Wonders of the Modern World by the American Society of Civil Engineers. The Frommers travel guide describes the Golden Gate Bridge as ""possibly the most beautiful, certainly the most photographed, bridge in the world."" It opened in 1937 and was, until 1964, the longest suspension bridge main span in the world, at 4,200 feet (1,300 m)."
"http://dbpedia.org/resource/Pyramid_Peak_(California)","Pyramid Peak (California)","Pyramid Peak is a mountain in the California's Sierra Nevada in the Crystal Range and to the west of Lake Tahoe. It is the highest point in the Desolation Wilderness. With an elevation gain of almost 4,100 feet (1,250 m), the Rocky Canyon route is the mountain's most popular approach although it is very arduous. To the east, at the base of the peak, lies Pyramid Lake.","Pyramid Peak is a mountain in the California's Sierra Nevada in the Crystal Range and to the west of Lake Tahoe. It is the highest point in the Desolation Wilderness. With an elevation gain of almost 4,100 feet (1,250 m), the Rocky Canyon route is the mountain's most popular approach although it is very arduous. To the east, at the base of the peak, lies Pyramid Lake."
"http://dbpedia.org/resource/Eagle_Rock_(Santa_Monica_Mountains)","Eagle Rock (Santa Monica Mountains)","Eagle Rock is a prominent sand-stone pinnacle in Topanga State Park in the Santa Monica Mountains, California.The rock can be reached by an easy hike, e.g. with the Musch Trail and Topanga Fire Road of Topanga State Park. The last part consists of an easy climb on one side of the rock to the top, the other side falls down steeply by around 100 ft (30 m).","Eagle Rock is a prominent sand-stone pinnacle in Topanga State Park in the Santa Monica Mountains, California. The rock can be reached by an easy hike, e.g. with the Musch Trail and Topanga Fire Road of Topanga State Park. The last part consists of an easy climb on one side of the rock to the top, the other side falls down steeply by around 100 ft (30 m)."
"http://dbpedia.org/resource/La_Cumbre_Peak","La Cumbre Peak","La Cumbre Peak is a 3,997-foot (1,218 m) peak in the Santa Ynez Mountains north of Santa Barbara, California. Made up of boulders and slabs of the Matilija Sandstone amid groves of pine trees, it is the highest summit near to the city. Other peaks in the Santa Ynez Range are Santa Ynez Peak, 15 miles (24 km) to the west, and Divide Peak, 15 miles (24 km) to the east.The road to the top, East Camino Cielo, is frequently used by runners and cyclists for training, as the elevation gain is substantial and sustained, while there is relatively little car traffic.","La Cumbre Peak is a 3,997-foot (1,218 m) peak in the Santa Ynez Mountains north of Santa Barbara, California. Made up of boulders and slabs of the Matilija Sandstone amid groves of pine trees, it is the highest summit near to the city. Other peaks in the Santa Ynez Range are Santa Ynez Peak, 15 miles (24 km) to the west, and Divide Peak, 15 miles (24 km) to the east. The road to the top, East Camino Cielo, is frequently used by runners and cyclists for training, as the elevation gain is substantial and sustained, while there is relatively little car traffic."
"http://dbpedia.org/resource/Mount_Barnard","Mount Barnard","Mount Barnard is a mountain in California and has the dubious distinction of being the highest thirteener, a peak between 13,000 and 13,999 feet (4,267 m) in elevation, in the United States. It is located on the Sierra Crest and straddles the boundary between Tulare and Inyo counties about 2 miles (3 km) southwest of Mount Williamson, the second highest peak in the state. Mount Barnard is the twelfth highest peak in California.The first ascent was by John Hunter, William Hunter, and C. Mulholland on September 25, 1892. They named the peak in honor of E. E. Barnard, an noted astronomer.","Mount Barnard is a mountain in California and has the dubious distinction of being the highest thirteener, a peak between 13,000 and 13,999 feet (4,267 m) in elevation, in the United States. It is located on the Sierra Crest and straddles the boundary between Tulare and Inyo counties about 2 miles (3 km) southwest of Mount Williamson, the second highest peak in the state. Mount Barnard is the twelfth highest peak in California. The first ascent was by John Hunter, William Hunter, and C. Mulholland on September 25, 1892. They named the peak in honor of E. E. Barnard, an noted astronomer."
"http://dbpedia.org/resource/Mount_Lyell_(California)","Mount Lyell (California)","Mount Lyell is the highest point in Yosemite National Park, at 13,114 feet (3,997 m). It is located at the southeast end of the Cathedral Range, 1.2 miles (1.9 km) northwest of Rodgers Peak. The peak as well as nearby Lyell Canyon is named after Charles Lyell, a well-known 19th century geologist. The peak also has one of the last remaining glaciers in Yosemite, Lyell Glacier. The Lyell Glacier is actually now considered just to be a permanent ice field, not a living glacier.","Mount Lyell is the highest point in Yosemite National Park, at 13,114 feet (3,997 m). It is located at the southeast end of the Cathedral Range, 1.2 miles (1.9 km) northwest of Rodgers Peak. The peak as well as nearby Lyell Canyon is named after Charles Lyell, a well-known 19th century geologist. The peak also has one of the last remaining glaciers in Yosemite, Lyell Glacier. The Lyell Glacier is actually now considered just to be a permanent ice field, not a living glacier. Mount Lyell divides the Tuolumne River watershed to the north, the Merced to the west, and the Rush Creek drainage in the Mono Lake Basin to the southeast."
"http://dbpedia.org/resource/Rubicon_Peak","Rubicon Peak","Rubicon Peak is a mountain in the Sierra Nevada mountain range to the west of Lake Tahoe in the Desolation Wilderness in El Dorado County, California.","Rubicon Peak is a mountain in the Sierra Nevada mountain range to the west of Lake Tahoe in the Desolation Wilderness in El Dorado County, California."
"http://dbpedia.org/resource/Triple_Divide_Peak_(Madera_County,_California)","Triple Divide Peak (Madera County, California)","Triple Divide Peak is a mountain on the boundary between Yosemite National Park and the Ansel Adams Wilderness in Madera County, California. It is located 0.7 miles (1.1 km) north of Walton Lake and 1.3 miles (2.1 km) southeast of Merced Peak. Its name refers to the fact that it lies on the boundaries of three distinct watersheds, namely those of the Merced, South Fork Merced, and San Joaquin Rivers. This mountain should not be confused with the other California peak of the same name, located to the southeast in Tulare County.","Triple Divide Peak is a mountain on the boundary between Yosemite National Park and the Ansel Adams Wilderness in Madera County, California. It is located 0.7 miles (1.1 km) north of Walton Lake and 1.3 miles (2.1 km) southeast of Merced Peak. Its name refers to the fact that it lies on the boundaries of three distinct watersheds, namely those of the Merced, South Fork Merced, and San Joaquin Rivers. This mountain should not be confused with the other California peak of the same name, located to the southeast in Tulare County."
"http://dbpedia.org/resource/Triple_Divide_Peak_(Tulare_County,_California)","Triple Divide Peak (Tulare County, California)","Triple Divide Peak is a mountain along the Great Western Divide in the Sierra Nevada range on the border between Kings Canyon National Park and Sequoia National Park, in Tulare County, California. It rises to 12,640 feet (3,853 m).Near Kaweah Gap, the peak divides three important watersheds: the Kern River, the Kaweah River, and the Kings River. This three-way divide leads to the peak's name. At one time, it was also called The Keystone.The Kaweah Peaks Ridge spurs off to the south, while the Kings-Kaweah Divide branches off to the west.","Triple Divide Peak is a mountain along the Great Western Divide in the Sierra Nevada range on the border between Kings Canyon National Park and Sequoia National Park, in Tulare County, California. It rises to 12,640 feet (3,853 m). Near Kaweah Gap, the peak divides three important watersheds: the Kern River, the Kaweah River, and the Kings River. This three-way divide leads to the peak's name. At one time, it was also called The Keystone. The Kaweah Peaks Ridge spurs off to the south, while the Kings-Kaweah Divide branches off to the west."
"http://dbpedia.org/resource/Bald_Rock_Dome","Bald Rock Dome","Bald Rock is a granite batholith located in Butte County, California, in the Plumas National Forest.Located close to Lake Oroville, the dome peak overlooks Sacramento Valley and coastal mountain ranges.","Bald Rock is a granite batholith located in Butte County, California, in the Plumas National Forest. Located close to Lake Oroville, the dome peak overlooks Sacramento Valley and coastal mountain ranges."
