name,locType,longitude,latitude,closest_to,blogLinks,src,dest,address,srcLoc,destLoc
lake ilsanjo,water,-122.631101384202,38.4285388,napa,http://www.10best.com/destinations/california/napa-valley/attractions/parks/,anaheim,napa,"Lake Ilsanjo, Lake Trail, Sonoma County, California, 95409, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
surfrider beach,beach,-118.6798114,34.0329862,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k190573-Road_trip_from_Anaheim_to_San_Francisco_suggestions-California.html,anaheim,napa,"Surfrider Beach, Pacific Coast Highway, Malibu, Los Angeles County, California, 90265, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
oakland bay bridge,abandoned,-122.342234,37.8193514,anaheim,http://thisismyhappiness.com/2012/07/16/30-things-to-do-in-napa-valley/,anaheim,napa,"San Francisco – Oakland Bay Bridge, Oakland, Alameda County, California, 94625, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
san francisco bay,bay,-122.2802469,37.708264,anaheim,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,anaheim,napa,"San Francisco Bay, Ferry Landing, Alameda, Alameda County, California, 94502, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
san francisco bay,bay,-122.2802469,37.708264,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"San Francisco Bay, Ferry Landing, Alameda, Alameda County, California, 94502, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
redwood mountain grove,wood,-118.9189941,36.6938351,anaheim,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Redwood Mountain Grove, Sugar Bowl Trail, Tulare County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
american riviera,tertiary,-121.3602199,38.576666,anaheim,http://www.hopper.com/articles/291/five-great-stops-between-los-angeles-and-san-francisco-on-the-pacific-coast-highway,anaheim,napa,"American River Drive, La Riviera, Sacramento County, California, 95608, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
pepperwood,hamlet,-123.9928218,40.4459712,napa,http://gocalifornia.about.com/od/caplaceslist/ss/Redwood-Forests-in-California.htm,anaheim,napa,"Pepperwood, Humboldt County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
san luis obispo county,administrative,-120.3757162,35.3540209,anaheim,http://www.hopper.com/articles/291/five-great-stops-between-los-angeles-and-san-francisco-on-the-pacific-coast-highway,anaheim,napa,"San Luis Obispo County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
san luis obispo county,administrative,-120.3757162,35.3540209,anaheim,http://www.travbuddy.com/California-travel-guide-p85,anaheim,napa,"San Luis Obispo County, California, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
napa valley vine,cycleway,-122.3640246,38.4022123,napa,http://gocalifornia.about.com/od/topcalifornia/qt/San-Francisco-to-Napa-Valley.htm,anaheim,napa,"Napa Valley Vine Trail, Yountville, Napa County, California, 94599, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
southern california,university,-118.286343973446,34.0224149,anaheim,https://www.tripadvisor.com/ShowTopic-g28926-i29-k6152478-Driving_from_Anaheim_to_Napa_Itinerary_Help-California.html,anaheim,napa,"University of Southern California, Watt Way, Saint James Park, LA, Los Angeles County, California, 90089, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
southern california,university,-118.286343973446,34.0224149,anaheim,http://www.wineinstitute.org/consumerstories,anaheim,napa,"University of Southern California, Watt Way, Saint James Park, LA, Los Angeles County, California, 90089, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
southern california,university,-118.286343973446,34.0224149,anaheim,http://visitanaheim.org/,anaheim,napa,"University of Southern California, Watt Way, Saint James Park, LA, Los Angeles County, California, 90089, United States of America","Anaheim, Orange County, California, United States of America","Napa, Napa County, California, United States of America"
