"attraction_in","no_of_attractions"
"Los Angeles","519"
"Westwood","3"
"Montebello","1"
"Bell Gardens","1"
"South Pasadena","1"
"South El Monte","2"
"Paramount","1"
"Pasadena","3"
"West Hollywood","10"
"Beverly Hills","23"
"Newhall","4"
"Santa Clarita","20"
"Saugus","1"
"Castaic","1"
"Burbank","16"
"Arcadia","5"
"San Gabriel","4"
"San Marino","1"
"Monrovia","4"
"Sierra Madre","2"
"La Canada Flintridge","5"
"Altadena","7"
"Montrose","2"
"La Crescenta","1"
"Gardena","1"
"Hawthorne","2"
"Compton","2"
"El Segundo","7"
"Manhattan Beach","4"
"Carson","1"
"Torrance","1"
"Rolling Hills Estates","3"
"Rancho Palos Verdes","1"
"Palos Verdes Estates","1"
"Culver City","8"
"Marina del Rey","8"
"Simi Valley","1"
"Glendale","3"
"Santa Monica","30"
"San Francisco","1028"
"Malibu","30"
"Calabasas","1"
"Agoura Hills","3"
"Agoura","1"
"Westlake Village","4"
"Fillmore","1"
"Thousand Oaks","6"
"Newbury Park","2"
"Moorpark","1"
"Camarillo","9"
"Somis","5"
"Port Hueneme","5"
"Oxnard","20"
"Manila","1"
"Ventura","20"
"Ojai","8"
"Frazier Park","2"
"Gorman","3"
"Lake Hughes","2"
"Lebec","1"
"Lancaster","3"
"Bakersfield","6"
"Rosamond","4"
"Keene","1"
"Littlerock","2"
"Bodfish","1"
"Tehachapi","6"
"Pearblossom","1"
"Azusa","1"
"Glendora","3"
"Covina","1"
"La Verne","1"
"San Dimas","1"
"Pomona","7"
"Montclair","1"
"Claremont","5"
"Chino Hills","4"
"Upland","2"
"Chino","4"
"Rancho Cucamonga","3"
"Alta Loma","2"
"Fontana","4"
"San Bernardino","10"
"Highland","1"
"Loma Linda","1"
"Colton","1"
"Moreno Valley","1"
"Redlands","4"
"Riverside","1"
"Norco","5"
"Jurupa Valley","3"
"Lake Elsinore","12"
"Corona","3"
"Rancho Santa Margarita","5"
"San Juan Capistrano","6"
"Dana Point","73"
"San Clemente","23"
"Laguna Beach","60"
"Corona del Mar","4"
"Balboa Island","6"
"Newport Beach","253"
"Fullerton","15"
"Costa Mesa","26"
"Santa Ana","10"
"Valley","5"
"Irvine","21"
"Westminster","5"
"Tustin","6"
"Garden Grove","6"
